Cycle: 10  CDAN-c206_X	Cycle: 10  CDAN-c206_Y	Fitted Cycle: 10  CDAN-c206_X	Fitted Cycle: 10  CDAN-c206_Y
-36.22	-0.424316	-36.22	-1.811
-36.12	-0.414551	-36.12	-1.806
-36.02	-0.414551	-36.02	-1.801
-35.92	-0.414551	-35.92	-1.796
-35.82	-0.404785	-35.82	-1.791
-35.72	-0.404785	-35.72	-1.786
-35.62	-0.404785	-35.62	-1.781
-35.52	-0.39502	-35.52	-1.776
-35.42	-0.39502	-35.42	-1.771
-35.32	-0.383301	-35.32	-1.766
-35.22	-0.383301	-35.22	-1.761
-35.12	-0.375488	-35.12	-1.756
-35.02	-0.373535	-35.02	-1.751
-34.92	-0.36377	-34.92	-1.746
-34.82	-0.36377	-34.82	-1.741
-34.72	-0.36377	-34.72	-1.736
-34.62	-0.354004	-34.62	-1.731
-34.52	-0.354004	-34.52	-1.726
-34.42	-0.354004	-34.42	-1.721
-34.32	-0.344238	-34.32	-1.716
-34.22	-0.344238	-34.22	-1.711
-34.12	-0.344238	-34.12	-1.706
-34.02	-0.334473	-34.02	-1.701
-33.92	-0.334473	-33.92	-1.696
-33.82	-0.324707	-33.82	-1.691
-33.72	-0.324707	-33.72	-1.686
-33.62	-0.324707	-33.62	-1.681
-33.52	-0.314941	-33.52	-1.676
-33.42	-0.314941	-33.42	-1.671
-33.32	-0.305176	-33.32	-1.666
-33.22	-0.305176	-33.22	-1.661
-33.12	-0.305176	-33.12	-1.656
-33.02	-0.293457	-33.02	-1.651
-32.92	-0.293457	-32.92	-1.646
-32.82	-0.293457	-32.82	-1.641
-32.72	-0.283691	-32.72	-1.636
-32.62	-0.283691	-32.62	-1.631
-32.52	-0.283691	-32.52	-1.626
-32.42	-0.281738	-32.42	-1.621
-32.32	-0.275879	-32.32	-1.616
-32.22	-0.273926	-32.22	-1.611
-32.12	-0.271973	-32.12	-1.606
-32.02	-0.273926	-32.02	-1.601
-31.92	-0.273926	-31.92	-1.596
-31.82	-0.26416	-31.82	-1.591
-31.72	-0.26416	-31.72	-1.586
-31.62	-0.254395	-31.62	-1.581
-31.52	-0.254395	-31.52	-1.576
-31.42	-0.254395	-31.42	-1.571
-31.32	-0.244629	-31.32	-1.566
-31.22	-0.244629	-31.22	-1.561
-31.12	-0.244629	-31.12	-1.556
-31.02	-0.234863	-31.02	-1.551
-30.92	-0.234863	-30.92	-1.546
-30.82	-0.234863	-30.82	-1.541
-30.72	-0.225098	-30.72	-1.536
-30.62	-0.225098	-30.62	-1.531
-30.52	-0.225098	-30.52	-1.526
-30.42	-0.225098	-30.42	-1.521
-30.32	-0.213379	-30.32	-1.516
-30.22	-0.221191	-30.22	-1.511
-30.12	-0.213379	-30.12	-1.506
-30.02	-0.213379	-30.02	-1.501
-29.92	-0.213379	-29.92	-1.496
-29.82	-0.203613	-29.82	-1.491
-29.72	-0.203613	-29.72	-1.486
-29.62	-0.203613	-29.62	-1.481
-29.52	-0.203613	-29.52	-1.476
-29.42	-0.193848	-29.42	-1.471
-29.32	-0.193848	-29.32	-1.466
-29.22	-0.193848	-29.22	-1.461
-29.12	-0.184082	-29.12	-1.456
-29.02	-0.191895	-29.02	-1.451
-28.92	-0.193848	-28.92	-1.446
-28.82	-0.184082	-28.82	-1.441
-28.72	-0.184082	-28.72	-1.436
-28.62	-0.184082	-28.62	-1.431
-28.52	-0.184082	-28.52	-1.426
-28.42	-0.174316	-28.42	-1.421
-28.32	-0.174316	-28.32	-1.416
-28.22	-0.174316	-28.22	-1.411
-28.12	-0.164551	-28.12	-1.406
-28.02	-0.172363	-28.02	-1.401
-27.92	-0.174316	-27.92	-1.396
-27.82	-0.162598	-27.82	-1.391
-27.72	-0.162598	-27.72	-1.386
-27.62	-0.162598	-27.62	-1.381
-27.52	-0.162598	-27.52	-1.376
-27.42	-0.162598	-27.42	-1.371
-27.32	-0.160645	-27.32	-1.366
-27.22	-0.162598	-27.22	-1.361
-27.12	-0.162598	-27.12	-1.356
-27.02	-0.162598	-27.02	-1.351
-26.92	-0.152832	-26.92	-1.346
-26.82	-0.152832	-26.82	-1.341
-26.72	-0.160645	-26.72	-1.336
-26.62	-0.162598	-26.62	-1.331
-26.52	-0.152832	-26.52	-1.326
-26.42	-0.152832	-26.42	-1.321
-26.32	-0.152832	-26.32	-1.316
-26.22	-0.143066	-26.22	-1.311
-26.12	-0.143066	-26.12	-1.306
-26.02	-0.143066	-26.02	-1.301
-25.92	-0.142578	-25.92	-1.296
-25.82	-0.14502	-25.82	-1.291
-25.72	-0.14502	-25.72	-1.286
-25.62	-0.135254	-25.62	-1.281
-25.52	-0.135254	-25.52	-1.276
-25.42	-0.135254	-25.42	-1.271
-25.32	-0.125488	-25.32	-1.266
-25.22	-0.125488	-25.22	-1.261
-25.12	-0.133301	-25.12	-1.256
-25.02	-0.123535	-25.02	-1.251
-24.92	-0.123535	-24.92	-1.246
