Cycle: 5  C15R26E_X	Cycle: 5  C15R26E_Y	Fitted Cycle: 5  C15R26E_X	Fitted Cycle: 5  C15R26E_Y
-20.56	0.482666	-20.56	0.356099
-20.46	0.482666	-20.46	0.354367
-20.36	0.482666	-20.36	0.352635
-20.26	0.47876	-20.26	0.350903
-20.16	0.4729	-20.16	0.349171
-20.06	0.463135	-20.06	0.347439
-19.96	0.459229	-19.96	0.345707
-19.86	0.453369	-19.86	0.343975
-19.76	0.453369	-19.76	0.342243
-19.66	0.439697	-19.66	0.340511
-19.56	0.433838	-19.56	0.338779
-19.46	0.433838	-19.46	0.337047
-19.36	0.429932	-19.36	0.335315
-19.26	0.414307	-19.26	0.333583
-19.16	0.414307	-19.16	0.331851
-19.06	0.4104	-19.06	0.330119
-18.96	0.404541	-18.96	0.328387
-18.86	0.394775	-18.86	0.326655
-18.76	0.394775	-18.76	0.324923
-18.66	0.390869	-18.66	0.323191
-18.56	0.38501	-18.56	0.321459
-18.46	0.38501	-18.46	0.319727
-18.36	0.371338	-18.36	0.317995
-18.26	0.365479	-18.26	0.316263
-18.16	0.365479	-18.16	0.314531
-18.06	0.361572	-18.06	0.312799
-17.96	0.355713	-17.96	0.311067
-17.86	0.341309	-17.86	0.309335
-17.76	0.334229	-17.76	0.307603
-17.66	0.334229	-17.66	0.305871
-17.56	0.330322	-17.56	0.304139
-17.46	0.314697	-17.46	0.302407
-17.36	0.314697	-17.36	0.300675
-17.26	0.310791	-17.26	0.298943
-17.16	0.304932	-17.16	0.297211
-17.06	0.304932	-17.06	0.295479
-16.96	0.289307	-16.96	0.293747
-16.86	0.283447	-16.86	0.292015
-16.76	0.283447	-16.76	0.290283
-16.66	0.279541	-16.66	0.288551
-16.56	0.273682	-16.56	0.286819
-16.46	0.263916	-16.46	0.285087
-16.36	0.263916	-16.36	0.283355
-16.26	0.26001	-16.26	0.281623
-16.16	0.25415	-16.16	0.279891
-16.06	0.244385	-16.06	0.278159
-15.96	0.244385	-15.96	0.276427
-15.86	0.244385	-15.86	0.274695
-15.76	0.234619	-15.76	0.272963
-15.66	0.230713	-15.66	0.271231
-15.56	0.224854	-15.56	0.269499
-15.46	0.224854	-15.46	0.267767
-15.36	0.211182	-15.36	0.266035
-15.26	0.205322	-15.26	0.264303
-15.16	0.205322	-15.16	0.262571
-15.06	0.205322	-15.06	0.260839
-14.96	0.190918	-14.96	0.259107
-14.86	0.183838	-14.86	0.257375
-14.76	0.183838	-14.76	0.255643
-14.66	0.174072	-14.66	0.253911
-14.56	0.174072	-14.56	0.252179
-14.46	0.174072	-14.46	0.250447
-14.36	0.174072	-14.36	0.248715
-14.26	0.164307	-14.26	0.246983
-14.16	0.1604	-14.16	0.245251
-14.06	0.154541	-14.06	0.243519
-13.96	0.154541	-13.96	0.241787
-13.86	0.138916	-13.86	0.240055
-13.76	0.133057	-13.76	0.238323
-13.66	0.133057	-13.66	0.236591
-13.56	0.123291	-13.56	0.234859
-13.46	0.123291	-13.46	0.233127
-13.36	0.119385	-13.36	0.231395
-13.26	0.10376	-13.26	0.229663
-13.16	0.10376	-13.16	0.227931
-13.06	0.0998535	-13.06	0.226199
-12.96	0.0842285	-12.96	0.224467
-12.86	0.0842285	-12.86	0.222735
-12.76	0.0842285	-12.76	0.221003
-12.66	0.0803223	-12.66	0.219271
-12.56	0.0686035	-12.56	0.217539
-12.46	0.0744629	-12.46	0.215807
-12.36	0.0705566	-12.36	0.214075
-12.26	0.0549316	-12.26	0.212343
-12.16	0.0549316	-12.16	0.210611
-12.06	0.0549316	-12.06	0.208879
-11.96	0.0510254	-11.96	0.207147
-11.86	0.0354004	-11.86	0.205415
-11.76	0.0354004	-11.76	0.203683
-11.66	0.0393066	-11.66	0.201951
-11.56	0.0354004	-11.56	0.200219
-11.46	0.0354004	-11.46	0.198487
-11.36	0.0236816	-11.36	0.196755
-11.26	0.0197754	-11.26	0.195023
-11.16	0.013916	-11.16	0.193291
-11.06	0.013916	-11.06	0.191559
-10.96	0.013916	-10.96	0.189827
-10.86	4.15039e-3	-10.86	0.188095
-10.76	4.15039e-3	-10.76	0.186363
-10.66	4.15039e-3	-10.66	0.184631
-10.56	-5.61523e-3	-10.56	0.182899
-10.46	-5.61523e-3	-10.46	0.181167
-10.36	-5.61523e-3	-10.36	0.179435
-10.26	-5.61523e-3	-10.26	0.177703
-10.16	-0.0153809	-10.16	0.175971
-10.06	-0.0349121	-10.06	0.174239
-9.96001	-0.0251465	-9.96001	0.172507
-9.86	-0.0349121	-9.86	0.170775
-9.76001	-0.0310059	-9.76001	0.169043
-9.66	-0.0349121	-9.66	0.167311
-9.56001	-0.0310059	-9.56001	0.165579
-9.46001	-0.0407715	-9.46001	0.163847
-9.36	-0.0427246	-9.36	0.162115
-9.26001	-0.0388184	-9.26001	0.160383
-9.16	-0.0419922	-9.16	0.158651
-9.06001	-0.0407715	-9.06001	0.156919
-8.96001	-0.0505371	-8.96001	0.155187
-8.86	-0.0505371	-8.86	0.153455
-8.76001	-0.048584	-8.76001	0.151723
-8.66	-0.0524902	-8.66	0.149991
-8.56001	-0.0673828	-8.56001	0.148259
-8.46001	-0.0563965	-8.46001	0.146527
-8.36	-0.0622559	-8.36	0.144795
-8.26001	-0.0720215	-8.26001	0.143063
-8.16	-0.0720215	-8.16	0.141331
-8.06001	-0.0778809	-8.06001	0.139599
-7.96001	-0.0817871	-7.96001	0.137867
-7.86	-0.0810547	-7.86	0.136135
-7.76001	-0.0778809	-7.76001	0.134403
-7.66	-0.0817871	-7.66	0.132671
-7.56001	-0.0876465	-7.56001	0.130939
-7.46001	-0.0817871	-7.46001	0.129207
-7.36	-0.0915527	-7.36	0.127475
-7.26001	-0.0888672	-7.26001	0.125743
-7.16	-0.0915527	-7.16	0.124011
-7.06001	-0.0876465	-7.06001	0.122279
-6.96001	-0.0915527	-6.96001	0.120547
-6.86	-0.0974121	-6.86	0.118815
-6.76001	-0.0927734	-6.76001	0.117083
-6.66	-0.0974121	-6.66	0.115351
-6.56001	-0.0915527	-6.56001	0.113619
-6.46001	-0.0974121	-6.46001	0.111887
-6.36	-0.101318	-6.36	0.110155
-6.26001	-0.0974121	-6.26001	0.108423
-6.16	-0.102539	-6.16	0.106691
-6.06001	-0.107178	-6.06001	0.104959
-5.96001	-0.107178	-5.96001	0.103227
-5.86	-0.107178	-5.86	0.101495
-5.76001	-0.108398	-5.76001	0.0997633
-5.66	-0.107178	-5.66	0.0980313
-5.56001	-0.107178	-5.56001	0.0962993
-5.46001	-0.11499	-5.46001	0.0945673
-5.36	-0.104492	-5.36	0.0928353
-5.26001	-0.107178	-5.26001	0.0911033
-5.16	-0.113037	-5.16	0.0893713
-5.06001	-0.0947266	-5.06001	0.0876393
-4.96001	-0.0563965	-4.96001	0.0859073
-4.86	-0.0244141	-4.86	0.0841753
-4.76001	6.10352e-3	-4.76001	0.0824433
-4.66	0.0412598	-4.66	0.0807113
-4.56001	0.0686035	-4.56001	0.0789793
-4.46001	0.0627441	-4.46001	0.0772473
-4.36	0.0791016	-4.36	0.0755153
-4.26001	0.101074	-4.26001	0.0737833
-4.16	0.105713	-4.16	0.0720513
-4.06001	0.101807	-4.06001	0.0703193
-3.96001	0.0874023	-3.96001	0.0685873
-3.86	0.0627441	-3.86	0.0668553
-3.76001	0.0627441	-3.76001	0.0651233
-3.66	0.0483398	-3.66	0.0633913
-3.56001	0.0314941	-3.56001	0.0616593
-3.46001	0.019043	-3.46001	0.0599273
-3.36	0.0178223	-3.36	0.0581953
-3.26001	-0.012207	-3.26001	0.0564633
-3.16	-0.0310059	-3.16	0.0547313
-3.06001	-0.0551758	-3.06001	0.0529993
-2.96001	-0.0817871	-2.96001	0.0512673
-2.86	-0.0922852	-2.86	0.0495353
-2.76001	-0.11499	-2.76001	0.0478033
