Cycle: 9  C15A160F_X	Cycle: 9  C15A160F_Y	Fitted Cycle: 9  C15A160F_X	Fitted Cycle: 9  C15A160F_Y
-31.06	0.505615	-31.06	-1.18214
-30.96	0.505615	-30.96	-1.17834
-30.86	0.49585	-30.86	-1.17453
-30.76	0.49585	-30.76	-1.17073
-30.66	0.49585	-30.66	-1.16692
-30.56	0.486084	-30.56	-1.16311
-30.46	0.486084	-30.46	-1.15931
-30.36	0.48999	-30.36	-1.1555
-30.26	0.49585	-30.26	-1.1517
-30.16	0.49585	-30.16	-1.14789
-30.06	0.484131	-30.06	-1.14408
-29.96	0.484131	-29.96	-1.14028
-29.86	0.484131	-29.86	-1.13647
-29.76	0.484131	-29.76	-1.13267
-29.66	0.474365	-29.66	-1.12886
-29.56	0.474365	-29.56	-1.12505
-29.46	0.474365	-29.46	-1.12125
-29.36	0.474365	-29.36	-1.11744
-29.26	0.468506	-29.26	-1.11364
-29.16	0.474365	-29.16	-1.10983
-29.06	0.474365	-29.06	-1.10602
-28.96	0.4646	-28.96	-1.10222
-28.86	0.4646	-28.86	-1.09841
-28.76	0.4646	-28.76	-1.09461
-28.66	0.4646	-28.66	-1.0908
-28.56	0.454834	-28.56	-1.08699
-28.46	0.454834	-28.46	-1.08319
-28.36	0.454834	-28.36	-1.07938
-28.26	0.454834	-28.26	-1.07558
-28.16	0.448975	-28.16	-1.07177
-28.06	0.454834	-28.06	-1.06796
-27.96	0.454834	-27.96	-1.06416
-27.86	0.445068	-27.86	-1.06035
-27.76	0.445068	-27.76	-1.05655
-27.66	0.445068	-27.66	-1.05274
-27.56	0.445068	-27.56	-1.04893
-27.46	0.435303	-27.46	-1.04513
-27.36	0.435303	-27.36	-1.04132
-27.26	0.435303	-27.26	-1.03752
-27.16	0.435303	-27.16	-1.03371
-27.06	0.423584	-27.06	-1.0299
-26.96	0.423584	-26.96	-1.0261
-26.86	0.423584	-26.86	-1.02229
-26.76	0.423584	-26.76	-1.01849
-26.66	0.423584	-26.66	-1.01468
-26.56	0.409912	-26.56	-1.01087
-26.46	0.404053	-26.46	-1.00707
-26.36	0.407959	-26.36	-1.00326
-26.26	0.413818	-26.26	-0.999456
-26.16	0.400146	-26.16	-0.99565
-26.06	0.394287	-26.06	-0.991844
-25.96	0.394287	-25.96	-0.988038
-25.86	0.394287	-25.86	-0.984232
-25.76	0.394287	-25.76	-0.980426
-25.66	0.384521	-25.66	-0.97662
-25.56	0.384521	-25.56	-0.972814
-25.46	0.384521	-25.46	-0.969008
-25.36	0.384521	-25.36	-0.965202
-25.26	0.384521	-25.26	-0.961396
-25.16	0.384521	-25.16	-0.95759
-25.06	0.374756	-25.06	-0.953784
-24.96	0.374756	-24.96	-0.949978
-24.86	0.374756	-24.86	-0.946172
-24.76	0.378662	-24.76	-0.942366
-24.66	0.374756	-24.66	-0.93856
-24.56	0.374756	-24.56	-0.934754
-24.46	0.374756	-24.46	-0.930948
-24.36	0.374756	-24.36	-0.927142
-24.26	0.374756	-24.26	-0.923336
-24.16	0.374756	-24.16	-0.91953
-24.06	0.36499	-24.06	-0.915724
-23.96	0.36499	-23.96	-0.911918
-23.86	0.36499	-23.86	-0.908112
-23.76	0.36499	-23.76	-0.904306
-23.66	0.36499	-23.66	-0.9005
-23.56	0.355225	-23.56	-0.896694
-23.46	0.355225	-23.46	-0.892888
-23.36	0.355225	-23.36	-0.889082
-23.26	0.351318	-23.26	-0.885276
-23.16	0.345459	-23.16	-0.88147
-23.06	0.335693	-23.06	-0.877664
-22.96	0.335693	-22.96	-0.873858
-22.86	0.335693	-22.86	-0.870052
-22.76	0.335693	-22.76	-0.866246
-22.66	0.335693	-22.66	-0.86244
-22.56	0.323975	-22.56	-0.858634
-22.46	0.323975	-22.46	-0.854828
-22.36	0.327881	-22.36	-0.851022
-22.26	0.33374	-22.26	-0.847216
-22.16	0.33374	-22.16	-0.84341
-22.06	0.323975	-22.06	-0.839604
-21.96	0.323975	-21.96	-0.835798
-21.86	0.320068	-21.86	-0.831992
-21.76	0.314209	-21.76	-0.828186
-21.66	0.314209	-21.66	-0.82438
-21.56	0.304443	-21.56	-0.820574
-21.46	0.304443	-21.46	-0.816768
-21.36	0.304443	-21.36	-0.812962
-21.26	0.304443	-21.26	-0.809156
-21.16	0.304443	-21.16	-0.80535
-21.06	0.290771	-21.06	-0.801544
-20.96	0.284912	-20.96	-0.797738
-20.86	0.284912	-20.86	-0.793932
-20.76	0.284912	-20.76	-0.790126
-20.66	0.281006	-20.66	-0.78632
-20.56	0.265381	-20.56	-0.782514
-20.46	0.265381	-20.46	-0.778708
-20.36	0.265381	-20.36	-0.774902
-20.26	0.265381	-20.26	-0.771096
-20.16	0.265381	-20.16	-0.76729
-20.06	0.265381	-20.06	-0.763484
-19.96	0.261475	-19.96	-0.759678
-19.86	0.255615	-19.86	-0.755872
-19.76	0.24585	-19.76	-0.752066
-19.66	0.24585	-19.66	-0.74826
-19.56	0.241943	-19.56	-0.744454
-19.46	0.236084	-19.46	-0.740648
-19.36	0.236084	-19.36	-0.736842
-19.26	0.231445	-19.26	-0.733036
-19.16	0.224365	-19.16	-0.72923
-19.06	0.2146	-19.06	-0.725424
-18.96	0.2146	-18.96	-0.721618
-18.86	0.210693	-18.86	-0.717812
-18.76	0.204834	-18.76	-0.714006
-18.66	0.204834	-18.66	-0.7102
-18.56	0.204834	-18.56	-0.706394
-18.46	0.204834	-18.46	-0.702588
-18.36	0.200928	-18.36	-0.698782
-18.26	0.195068	-18.26	-0.694976
-18.16	0.195068	-18.16	-0.69117
-18.06	0.185303	-18.06	-0.687364
-17.96	0.181396	-17.96	-0.683558
-17.86	0.175537	-17.86	-0.679752
-17.76	0.175537	-17.76	-0.675946
-17.66	0.175537	-17.66	-0.67214
-17.56	0.171631	-17.56	-0.668334
-17.46	0.165771	-17.46	-0.664528
-17.36	0.165771	-17.36	-0.660722
-17.26	0.165771	-17.26	-0.656916
-17.16	0.161865	-17.16	-0.65311
-17.06	0.156006	-17.06	-0.649304
-16.96	0.156006	-16.96	-0.645498
-16.86	0.144287	-16.86	-0.641692
-16.76	0.144287	-16.76	-0.637886
-16.66	0.140381	-16.66	-0.63408
-16.56	0.134521	-16.56	-0.630274
-16.46	0.134521	-16.46	-0.626468
-16.36	0.134521	-16.36	-0.622662
-16.26	0.134521	-16.26	-0.618856
-16.16	0.130615	-16.16	-0.61505
-16.06	0.11499	-16.06	-0.611244
-15.96	0.11499	-15.96	-0.607438
-15.86	0.11499	-15.86	-0.603632
-15.76	0.11499	-15.76	-0.599826
-15.66	0.110352	-15.66	-0.59602
-15.56	0.103271	-15.56	-0.592214
-15.46	0.103271	-15.46	-0.588408
-15.36	0.103271	-15.36	-0.584602
-15.26	0.0935059	-15.26	-0.580796
-15.16	0.0895996	-15.16	-0.57699
-15.06	0.0837402	-15.06	-0.573184
-14.96	0.0837402	-14.96	-0.569378
-14.86	0.0837402	-14.86	-0.565572
-14.76	0.0837402	-14.76	-0.561766
-14.66	0.0837402	-14.66	-0.55796
-14.56	0.079834	-14.56	-0.554154
-14.46	0.064209	-14.46	-0.550348
-14.36	0.064209	-14.36	-0.546542
-14.26	0.064209	-14.26	-0.542736
-14.16	0.064209	-14.16	-0.53893
-14.06	0.064209	-14.06	-0.535124
-13.96	0.064209	-13.96	-0.531318
-13.86	0.0603027	-13.86	-0.527512
-13.76	0.0446777	-13.76	-0.523706
-13.66	0.0446777	-13.66	-0.5199
-13.56	0.0407715	-13.56	-0.516094
-13.46	0.0349121	-13.46	-0.512288
-13.36	0.0349121	-13.36	-0.508482
-13.26	0.0251465	-13.26	-0.504676
-13.16	0.0251465	-13.16	-0.50087
-13.06	0.0212402	-13.06	-0.497064
-12.96	0.0153809	-12.96	-0.493258
-12.86	0.0153809	-12.86	-0.489452
-12.76	0.0153809	-12.76	-0.485646
-12.66	5.61523e-3	-12.66	-0.48184
-12.56	5.61523e-3	-12.56	-0.478034
-12.46	1.70898e-3	-12.46	-0.474228
-12.36	-4.15039e-3	-12.36	-0.470422
-12.26	-0.013916	-12.26	-0.466616
-12.16	-0.013916	-12.16	-0.46281
-12.06	-0.013916	-12.06	-0.459004
-11.96	-0.013916	-11.96	-0.455198
-11.86	-0.013916	-11.86	-0.451392
-11.76	-0.013916	-11.76	-0.447586
-11.66	-0.013916	-11.66	-0.44378
-11.56	-0.0256348	-11.56	-0.439974
-11.46	-0.0256348	-11.46	-0.436168
-11.36	-0.0256348	-11.36	-0.432362
-11.26	-0.0256348	-11.26	-0.428556
-11.16	-0.029541	-11.16	-0.42475
-11.06	-0.0354004	-11.06	-0.420944
-10.96	-0.0354004	-10.96	-0.417138
-10.86	-0.0354004	-10.86	-0.413332
-10.76	-0.0412598	-10.76	-0.409526
-10.66	-0.0354004	-10.66	-0.40572
-10.56	-0.0354004	-10.56	-0.401914
-10.46	-0.0354004	-10.46	-0.398108
-10.36	-0.045166	-10.36	-0.394302
-10.26	-0.045166	-10.26	-0.390496
-10.16	-0.045166	-10.16	-0.38669
-10.06	-0.0549316	-10.06	-0.382884
-9.96	-0.0646973	-9.96	-0.379078
-9.86	-0.0705566	-9.86	-0.375272
-9.76	-0.0705566	-9.76	-0.371466
-9.66	-0.0744629	-9.66	-0.36766
-9.56	-0.0803223	-9.56	-0.363854
-9.46	-0.0822754	-9.46	-0.360048
-9.36	-0.0822754	-9.36	-0.356242
-9.26	-0.0874023	-9.26	-0.352436
-9.16	-0.0803223	-9.16	-0.34863
-9.06	-0.0900879	-9.06	-0.344824
-8.96	-0.0861816	-8.96	-0.341018
-8.86	-0.0783691	-8.86	-0.337212
-8.76	-0.0822754	-8.76	-0.333406
-8.66	-0.081543	-8.66	-0.3296
-8.56	-0.0725098	-8.56	-0.325794
-8.46	-0.060791	-8.46	-0.321988
-8.36	-0.0666504	-8.36	-0.318182
-8.26	-0.0627441	-8.26	-0.314376
-8.16	-0.0581055	-8.16	-0.31057
-8.06	-0.0510254	-8.06	-0.306764
-7.96	-0.0471191	-7.96	-0.302958
-7.86	-0.0510254	-7.86	-0.299152
-7.76	-0.0471191	-7.76	-0.295346
-7.66	-0.0366211	-7.66	-0.29154
-7.56	-0.029541	-7.56	-0.287734
-7.46	-0.0373535	-7.46	-0.283928
-7.36	-0.0275879	-7.36	-0.280122
-7.26	-0.0217285	-7.26	-0.276316
-7.16	-0.0170898	-7.16	-0.27251
-7.06	-0.0158691	-7.06	-0.268704
-6.96	-0.0100098	-6.96	-0.264898
-6.86	-8.05664e-3	-6.86	-0.261092
-6.76	-8.05664e-3	-6.76	-0.257286
-6.66	-1.46484e-3	-6.66	-0.25348
-6.56	-2.44141e-4	-6.56	-0.249674
-6.46	-6.10352e-3	-6.46	-0.245868
-6.36	3.66211e-3	-6.36	-0.242062
-6.26	0.0114746	-6.26	-0.238256
-6.16	0.012207	-6.16	-0.23445
-6.06	0.0134277	-6.06	-0.230644
-5.96	0.0134277	-5.96	-0.226838
-5.86	0.0231934	-5.86	-0.223032
-5.76	0.0336914	-5.76	-0.219226
-5.66	0.0583496	-5.66	-0.21542
-5.56	0.0720215	-5.56	-0.211614
-5.46	0.0961914	-5.46	-0.207808
-5.36	0.126709	-5.36	-0.204002
-5.26	0.156006	-5.26	-0.200196
-5.16	0.20166	-5.16	-0.19639
-5.06	0.241943	-5.06	-0.192584
-4.96	0.277832	-4.96	-0.188778
-4.86	0.30835	-4.86	-0.184972
-4.76	0.33374	-4.76	-0.181166
-4.66	0.359131	-4.66	-0.17736
-4.56	0.36499	-4.56	-0.173554
-4.46	0.368896	-4.46	-0.169748
-4.36	0.374756	-4.36	-0.165942
-4.26	0.380615	-4.26	-0.162136
-4.16	0.388428	-4.16	-0.15833
-4.06	0.404053	-4.06	-0.154524
-3.96	0.380615	-3.96	-0.150718
-3.86	0.363037	-3.86	-0.146912
-3.76	0.338867	-3.76	-0.143106
-3.66	0.30835	-3.66	-0.1393
-3.56	0.274414	-3.56	-0.135494
-3.46	0.257568	-3.46	-0.131688
-3.36	0.22168	-3.36	-0.127882
-3.26	0.185303	-3.26	-0.124076
-3.16	0.151367	-3.16	-0.12027
-3.06	0.110352	-3.06	-0.116464
-2.96	0.0759277	-2.96	-0.112658
-2.86	0.0380859	-2.86	-0.108852
-2.76	9.76563e-4	-2.76	-0.105046
-2.66	-0.0283203	-2.66	-0.10124
-2.56	-0.0393066	-2.56	-0.0974335
-2.46	-0.0576172	-2.46	-0.0936276
-2.36	-0.0556641	-2.36	-0.0898216
-2.26	-0.0556641	-2.26	-0.0860155
-2.16	-0.0830078	-2.16	-0.0822096
-2.06	-0.135742	-2.06	-0.0784035
-1.96	-0.15918	-1.96	-0.0745976
-1.86	-0.162354	-1.86	-0.0707916
-1.76	-0.183838	-1.76	-0.0669855
-1.66	-0.187744	-1.66	-0.0631796
-1.56	-0.201416	-1.56	-0.0593735
-1.46	-0.201416	-1.46	-0.0555676
-1.36	-0.250244	-1.36	-0.0517616
-1.26	-0.26123	-1.26	-0.0479555
-1.16	-0.230713	-1.16	-0.0441496
-1.06	-0.216309	-1.06	-0.0403435
-0.959999	-0.214355	-0.959999	-0.0365376
-0.860001	-0.195557	-0.860001	-0.0327316
-0.759998	-0.194824	-0.759998	-0.0289255
-0.66	-0.214355	-0.66	-0.0251196
-0.559998	-0.132324	-0.559998	-0.0213135
-0.459999	-0.0556641	-0.459999	-0.0175076
-0.360001	-0.0900879	-0.360001	-0.0137016
-0.259998	-0.128662	-0.259998	-9.89554e-3
-0.16	-0.254639	-0.16	-6.08959e-3
-0.0599976	-0.398193	-0.0599976	-2.28351e-3
0.0400009	-0.802979	0.0400009	-7.95348
0.139999	-1.32007	0.139999	-7.94525
0.240002	-1.09253	0.240002	-7.93703
0.34	-0.345947	0.34	-7.92881
0.440002	0.362549	0.440002	-7.92059
0.540001	0.852783	0.540001	-7.91237
0.639999	1.04077	0.639999	-7.90415
0.739998	1.24438	0.739998	-7.89593
0.840004	1.38696	0.840004	-7.88771
0.940002	1.51392	0.940002	-7.87949
1.04	1.60254	1.04	-7.87128
1.14	1.75562	1.14	-7.86307
1.24	1.80957	1.24	-7.85485
1.34	1.81421	1.34	-7.84664
1.44	1.81543	1.44	-7.83843
1.54	1.81616	1.54	-7.83022
1.64	1.84668	1.64	-7.82201
1.74	1.87476	1.74	-7.8138
