Cycle: 11  CDAN-1032A_X	Cycle: 11  CDAN-1032A_Y	Fitted Cycle: 11  CDAN-1032A_X	Fitted Cycle: 11  CDAN-1032A_Y
-37.42	0.817139	-37.42	-1.871
-37.32	0.807373	-37.32	-1.866
-37.22	0.815186	-37.22	-1.861
-37.12	0.817139	-37.12	-1.856
-37.02	0.81665	-37.02	-1.851
-36.92	0.819092	-36.92	-1.846
-36.82	0.809326	-36.82	-1.841
-36.72	0.809326	-36.72	-1.836
-36.62	0.817139	-36.62	-1.831
-36.52	0.807373	-36.52	-1.826
-36.42	0.807373	-36.42	-1.821
-36.32	0.807373	-36.32	-1.816
-36.22	0.80542	-36.22	-1.811
-36.12	0.807373	-36.12	-1.806
-36.02	0.815186	-36.02	-1.801
-35.92	0.807373	-35.92	-1.796
-35.82	0.807373	-35.82	-1.791
-35.72	0.815186	-35.72	-1.786
-35.62	0.807373	-35.62	-1.781
-35.52	0.807373	-35.52	-1.776
-35.42	0.807373	-35.42	-1.771
-35.32	0.80542	-35.32	-1.766
-35.22	0.807373	-35.22	-1.761
-35.12	0.797607	-35.12	-1.756
-35.02	0.797607	-35.02	-1.751
-34.92	0.80542	-34.92	-1.746
-34.82	0.789795	-34.82	-1.741
-34.72	0.787842	-34.72	-1.736
-34.62	0.795654	-34.62	-1.731
-34.52	0.787842	-34.52	-1.726
-34.42	0.787842	-34.42	-1.721
-34.32	0.778076	-34.32	-1.716
-34.22	0.778076	-34.22	-1.711
-34.12	0.785889	-34.12	-1.706
-34.02	0.787842	-34.02	-1.701
-33.92	0.776123	-33.92	-1.696
-33.82	0.776123	-33.82	-1.691
-33.72	0.776123	-33.72	-1.686
-33.62	0.775635	-33.62	-1.681
-33.52	0.778076	-33.52	-1.676
-33.42	0.778076	-33.42	-1.671
-33.32	0.768311	-33.32	-1.666
-33.22	0.768311	-33.22	-1.661
-33.12	0.768311	-33.12	-1.656
-33.02	0.758545	-33.02	-1.651
-32.92	0.758545	-32.92	-1.646
-32.82	0.766357	-32.82	-1.641
-32.72	0.758545	-32.72	-1.636
-32.62	0.758545	-32.62	-1.631
-32.52	0.758545	-32.52	-1.626
-32.42	0.748779	-32.42	-1.621
-32.32	0.748779	-32.32	-1.616
-32.22	0.739014	-32.22	-1.611
-32.12	0.739014	-32.12	-1.606
-32.02	0.739014	-32.02	-1.601
-31.92	0.737061	-31.92	-1.596
-31.82	0.739014	-31.82	-1.591
-31.72	0.739014	-31.72	-1.586
-31.62	0.739014	-31.62	-1.581
-31.52	0.727295	-31.52	-1.576
-31.42	0.727295	-31.42	-1.571
-31.32	0.717529	-31.32	-1.566
-31.22	0.717529	-31.22	-1.561
-31.12	0.717529	-31.12	-1.556
-31.02	0.717529	-31.02	-1.551
-30.92	0.715576	-30.92	-1.546
-30.82	0.717529	-30.82	-1.541
-30.72	0.717529	-30.72	-1.536
-30.62	0.717529	-30.62	-1.531
-30.52	0.707764	-30.52	-1.526
-30.42	0.707764	-30.42	-1.521
-30.32	0.715576	-30.32	-1.516
-30.22	0.717529	-30.22	-1.511
-30.12	0.707764	-30.12	-1.506
-30.02	0.707764	-30.02	-1.501
-29.92	0.707764	-29.92	-1.496
-29.82	0.697998	-29.82	-1.491
-29.72	0.697998	-29.72	-1.486
-29.62	0.697998	-29.62	-1.481
-29.52	0.696045	-29.52	-1.476
-29.42	0.697998	-29.42	-1.471
-29.32	0.697998	-29.32	-1.466
-29.22	0.688232	-29.22	-1.461
-29.12	0.688232	-29.12	-1.456
-29.02	0.688232	-29.02	-1.451
-28.92	0.676514	-28.92	-1.446
-28.82	0.676514	-28.82	-1.441
-28.72	0.676514	-28.72	-1.436
-28.62	0.684326	-28.62	-1.431
-28.52	0.676514	-28.52	-1.426
-28.42	0.676514	-28.42	-1.421
-28.32	0.676514	-28.32	-1.416
-28.22	0.666748	-28.22	-1.411
-28.12	0.666748	-28.12	-1.406
-28.02	0.666748	-28.02	-1.401
-27.92	0.656982	-27.92	-1.396
-27.82	0.664795	-27.82	-1.391
-27.72	0.658936	-27.72	-1.386
-27.62	0.655029	-27.62	-1.381
-27.52	0.656982	-27.52	-1.376
-27.42	0.656982	-27.42	-1.371
-27.32	0.647217	-27.32	-1.366
-27.22	0.647217	-27.22	-1.361
-27.12	0.647217	-27.12	-1.356
-27.02	0.637451	-27.02	-1.351
-26.92	0.637451	-26.92	-1.346
-26.82	0.627686	-26.82	-1.341
-26.72	0.627686	-26.72	-1.336
-26.62	0.627686	-26.62	-1.331
-26.52	0.61792	-26.52	-1.326
-26.42	0.61792	-26.42	-1.321
-26.32	0.61792	-26.32	-1.316
-26.22	0.61792	-26.22	-1.311
-26.12	0.606201	-26.12	-1.306
-26.02	0.606201	-26.02	-1.301
-25.92	0.606201	-25.92	-1.296
-25.82	0.596436	-25.82	-1.291
-25.72	0.596436	-25.72	-1.286
-25.62	0.596436	-25.62	-1.281
-25.52	0.596436	-25.52	-1.276
-25.42	0.58667	-25.42	-1.271
-25.32	0.58667	-25.32	-1.266
-25.22	0.58667	-25.22	-1.261
-25.12	0.58667	-25.12	-1.256
-25.02	0.576904	-25.02	-1.251
-24.92	0.576904	-24.92	-1.246
-24.82	0.576904	-24.82	-1.241
-24.72	0.576904	-24.72	-1.236
-24.62	0.567139	-24.62	-1.231
-24.52	0.567139	-24.52	-1.226
-24.42	0.567139	-24.42	-1.221
-24.32	0.567139	-24.32	-1.216
-24.22	0.557373	-24.22	-1.211
-24.12	0.557373	-24.12	-1.206
-24.02	0.557373	-24.02	-1.201
-23.92	0.557373	-23.92	-1.196
-23.82	0.547607	-23.82	-1.191
-23.72	0.547607	-23.72	-1.186
-23.62	0.547607	-23.62	-1.181
-23.52	0.537842	-23.52	-1.176
-23.42	0.547119	-23.42	-1.171
-23.32	0.549561	-23.32	-1.166
-23.22	0.549561	-23.22	-1.161
-23.12	0.537842	-23.12	-1.156
-23.02	0.537842	-23.02	-1.151
-22.92	0.537842	-22.92	-1.146
-22.82	0.537842	-22.82	-1.141
-22.72	0.528076	-22.72	-1.136
-22.62	0.518799	-22.62	-1.131
-22.52	0.506592	-22.52	-1.126
-22.42	0.506592	-22.42	-1.121
-22.32	0.506592	-22.32	-1.116
-22.22	0.506592	-22.22	-1.111
-22.12	0.496826	-22.12	-1.106
-22.02	0.496826	-22.02	-1.101
-21.92	0.496826	-21.92	-1.096
-21.82	0.487061	-21.82	-1.091
-21.72	0.487061	-21.72	-1.086
-21.62	0.487061	-21.62	-1.081
-21.52	0.477295	-21.52	-1.076
-21.42	0.469482	-21.42	-1.071
-21.32	0.467529	-21.32	-1.066
-21.22	0.457764	-21.22	-1.061
-21.12	0.457764	-21.12	-1.056
-21.02	0.457764	-21.02	-1.051
-20.92	0.447998	-20.92	-1.046
-20.82	0.440186	-20.82	-1.041
-20.72	0.438232	-20.72	-1.036
-20.62	0.438232	-20.62	-1.031
-20.52	0.426514	-20.52	-1.026
-20.42	0.426514	-20.42	-1.021
-20.32	0.426514	-20.32	-1.016
-20.22	0.408936	-20.22	-1.011
-20.12	0.406982	-20.12	-1.006
-20.02	0.406982	-20.02	-1.001
-19.92	0.397217	-19.92	-0.996
-19.82	0.397217	-19.82	-0.991
-19.72	0.397217	-19.72	-0.986
-19.62	0.387451	-19.62	-0.981
-19.52	0.387451	-19.52	-0.976
-19.42	0.369873	-19.42	-0.971
-19.32	0.36792	-19.32	-0.966
-19.22	0.358154	-19.22	-0.961
-19.12	0.358154	-19.12	-0.956
-19.02	0.358154	-19.02	-0.951
-18.92	0.340576	-18.92	-0.946
-18.82	0.338623	-18.82	-0.941
-18.72	0.338623	-18.72	-0.936
-18.62	0.328857	-18.62	-0.931
-18.52	0.328857	-18.52	-0.926
-18.42	0.328857	-18.42	-0.921
-18.32	0.311279	-18.32	-0.916
-18.22	0.309326	-18.22	-0.911
-18.12	0.297607	-18.12	-0.906
-18.02	0.297607	-18.02	-0.901
-17.92	0.297607	-17.92	-0.896
-17.82	0.280029	-17.82	-0.891
-17.72	0.278076	-17.72	-0.886
-17.62	0.268311	-17.62	-0.881
-17.52	0.268311	-17.52	-0.876
-17.42	0.268311	-17.42	-0.871
-17.32	0.258545	-17.32	-0.866
-17.22	0.249268	-17.22	-0.861
-17.12	0.246826	-17.12	-0.856
-17.02	0.237061	-17.02	-0.851
-16.92	0.237061	-16.92	-0.846
-16.82	0.227295	-16.82	-0.841
-16.72	0.227295	-16.72	-0.836
-16.62	0.227295	-16.62	-0.831
-16.52	0.217529	-16.52	-0.826
-16.42	0.209717	-16.42	-0.821
-16.32	0.197998	-16.32	-0.816
-16.22	0.197998	-16.22	-0.811
-16.12	0.197998	-16.12	-0.806
-16.02	0.197998	-16.02	-0.801
-15.92	0.186279	-15.92	-0.796
-15.82	0.186279	-15.82	-0.791
-15.72	0.168701	-15.72	-0.786
-15.62	0.166748	-15.62	-0.781
-15.52	0.166748	-15.52	-0.776
-15.42	0.156982	-15.42	-0.771
-15.32	0.156982	-15.32	-0.766
-15.22	0.156982	-15.22	-0.761
-15.12	0.156982	-15.12	-0.756
-15.02	0.147217	-15.02	-0.751
-14.92	0.147217	-14.92	-0.746
-14.82	0.147217	-14.82	-0.741
-14.72	0.137451	-14.72	-0.736
-14.62	0.137451	-14.62	-0.731
-14.52	0.137451	-14.52	-0.726
-14.42	0.127686	-14.42	-0.721
-14.32	0.127686	-14.32	-0.716
-14.22	0.110107	-14.22	-0.711
-14.12	0.108154	-14.12	-0.706
-14.02	0.108154	-14.02	-0.701
-13.92	0.108154	-13.92	-0.696
-13.82	0.0983887	-13.82	-0.691
-13.72	0.0983887	-13.72	-0.686
-13.62	0.0866699	-13.62	-0.681
-13.52	0.0866699	-13.52	-0.676
-13.42	0.0866699	-13.42	-0.671
-13.32	0.0866699	-13.32	-0.666
-13.22	0.0769043	-13.22	-0.661
-13.12	0.0769043	-13.12	-0.656
-13.02	0.0671387	-13.02	-0.651
-12.92	0.0671387	-12.92	-0.646
-12.82	0.057373	-12.82	-0.641
