Cycle: 14  CDAN-D1043K_X	Cycle: 14  CDAN-D1043K_Y	Fitted Cycle: 14  CDAN-D1043K_X	Fitted Cycle: 14  CDAN-D1043K_Y
-30.32	0.935059	-30.32	-1.516
-30.22	0.937012	-30.22	-1.511
-30.12	0.927246	-30.12	-1.506
-30.02	0.927246	-30.02	-1.501
-29.92	0.927246	-29.92	-1.496
-29.82	0.915527	-29.82	-1.491
-29.72	0.915527	-29.72	-1.486
-29.62	0.905762	-29.62	-1.481
-29.52	0.913574	-29.52	-1.476
-29.42	0.905762	-29.42	-1.471
-29.32	0.905762	-29.32	-1.466
-29.22	0.895996	-29.22	-1.461
-29.12	0.895996	-29.12	-1.456
-29.02	0.88623	-29.02	-1.451
-28.92	0.894043	-28.92	-1.446
-28.82	0.88623	-28.82	-1.441
-28.72	0.88623	-28.72	-1.436
-28.62	0.876465	-28.62	-1.431
-28.52	0.876465	-28.52	-1.426
-28.42	0.866699	-28.42	-1.421
-28.32	0.866699	-28.32	-1.416
-28.22	0.862793	-28.22	-1.411
-28.12	0.864746	-28.12	-1.406
-28.02	0.85498	-28.02	-1.401
-27.92	0.85498	-27.92	-1.396
-27.82	0.845215	-27.82	-1.391
-27.72	0.845215	-27.72	-1.386
-27.62	0.845215	-27.62	-1.381
-27.52	0.835449	-27.52	-1.376
-27.42	0.825684	-27.42	-1.371
-27.32	0.825684	-27.32	-1.366
-27.22	0.815918	-27.22	-1.361
-27.12	0.815918	-27.12	-1.356
-27.02	0.806152	-27.02	-1.351
-26.92	0.813965	-26.92	-1.346
-26.82	0.806152	-26.82	-1.341
-26.72	0.794434	-26.72	-1.336
-26.62	0.794434	-26.62	-1.331
-26.52	0.784668	-26.52	-1.326
-26.42	0.784668	-26.42	-1.321
-26.32	0.774902	-26.32	-1.316
-26.22	0.774902	-26.22	-1.311
-26.12	0.765137	-26.12	-1.306
-26.02	0.765137	-26.02	-1.301
-25.92	0.764648	-25.92	-1.296
-25.82	0.757324	-25.82	-1.291
-25.72	0.757324	-25.72	-1.286
-25.62	0.747559	-25.62	-1.281
-25.52	0.747559	-25.52	-1.276
-25.42	0.737793	-25.42	-1.271
-25.32	0.728027	-25.32	-1.266
-25.22	0.728027	-25.22	-1.261
-25.12	0.728027	-25.12	-1.256
-25.02	0.716309	-25.02	-1.251
-24.92	0.716309	-24.92	-1.246
-24.82	0.706543	-24.82	-1.241
-24.72	0.714355	-24.72	-1.236
-24.62	0.706543	-24.62	-1.231
-24.52	0.706543	-24.52	-1.226
-24.42	0.696777	-24.42	-1.221
-24.32	0.696777	-24.32	-1.216
-24.22	0.694824	-24.22	-1.211
-24.12	0.696777	-24.12	-1.206
-24.02	0.687012	-24.02	-1.201
-23.92	0.687012	-23.92	-1.196
-23.82	0.677246	-23.82	-1.191
-23.72	0.677246	-23.72	-1.186
-23.62	0.66748	-23.62	-1.181
-23.52	0.66748	-23.52	-1.176
-23.42	0.655762	-23.42	-1.171
-23.32	0.655762	-23.32	-1.166
-23.22	0.645996	-23.22	-1.161
-23.12	0.645996	-23.12	-1.156
-23.02	0.63623	-23.02	-1.151
-22.92	0.63623	-22.92	-1.146
-22.82	0.626465	-22.82	-1.141
-22.72	0.626465	-22.72	-1.136
-22.62	0.616699	-22.62	-1.131
-22.52	0.606934	-22.52	-1.126
-22.42	0.606934	-22.42	-1.121
-22.32	0.597168	-22.32	-1.116
-22.22	0.597168	-22.22	-1.111
-22.12	0.587402	-22.12	-1.106
-22.02	0.587402	-22.02	-1.101
-21.92	0.575684	-21.92	-1.096
-21.82	0.575684	-21.82	-1.091
-21.72	0.565918	-21.72	-1.086
-21.62	0.565918	-21.62	-1.081
-21.52	0.556152	-21.52	-1.076
-21.42	0.556152	-21.42	-1.071
-21.32	0.538574	-21.32	-1.066
-21.22	0.536621	-21.22	-1.061
-21.12	0.526855	-21.12	-1.056
-21.02	0.526855	-21.02	-1.051
-20.92	0.51709	-20.92	-1.046
-20.82	0.51709	-20.82	-1.041
-20.72	0.507324	-20.72	-1.036
-20.62	0.507324	-20.62	-1.031
-20.52	0.497559	-20.52	-1.026
-20.42	0.489746	-20.42	-1.021
-20.32	0.478027	-20.32	-1.016
-20.22	0.478027	-20.22	-1.011
-20.12	0.478027	-20.12	-1.006
-20.02	0.466309	-20.02	-1.001
-19.92	0.466309	-19.92	-0.996
-19.82	0.456543	-19.82	-0.991
-19.72	0.447266	-19.72	-0.986
-19.62	0.435059	-19.62	-0.981
-19.52	0.435059	-19.52	-0.976
-19.42	0.435059	-19.42	-0.971
-19.32	0.425293	-19.32	-0.966
-19.22	0.425293	-19.22	-0.961
-19.12	0.415527	-19.12	-0.956
-19.02	0.415527	-19.02	-0.951
-18.92	0.405762	-18.92	-0.946
-18.82	0.388184	-18.82	-0.941
-18.72	0.38623	-18.72	-0.936
-18.62	0.376465	-18.62	-0.931
-18.52	0.376465	-18.52	-0.926
-18.42	0.364746	-18.42	-0.921
-18.32	0.364746	-18.32	-0.916
-18.22	0.35498	-18.22	-0.911
-18.12	0.347168	-18.12	-0.906
-18.02	0.335449	-18.02	-0.901
-17.92	0.335449	-17.92	-0.896
-17.82	0.325684	-17.82	-0.891
-17.72	0.315918	-17.72	-0.886
-17.62	0.315918	-17.62	-0.881
-17.52	0.306152	-17.52	-0.876
-17.42	0.306152	-17.42	-0.871
-17.32	0.296387	-17.32	-0.866
-17.22	0.296387	-17.22	-0.861
-17.12	0.278809	-17.12	-0.856
-17.02	0.276855	-17.02	-0.851
-16.92	0.265137	-16.92	-0.846
-16.82	0.265137	-16.82	-0.841
-16.72	0.265137	-16.72	-0.836
-16.62	0.255371	-16.62	-0.831
-16.52	0.245605	-16.52	-0.826
-16.42	0.245605	-16.42	-0.821
-16.32	0.23584	-16.32	-0.816
-16.22	0.23584	-16.22	-0.811
-16.12	0.226074	-16.12	-0.806
-16.02	0.226074	-16.02	-0.801
-15.92	0.216309	-15.92	-0.796
-15.82	0.216309	-15.82	-0.791
-15.72	0.206543	-15.72	-0.786
-15.62	0.206543	-15.62	-0.781
-15.52	0.196777	-15.52	-0.776
-15.42	0.196777	-15.42	-0.771
-15.32	0.187012	-15.32	-0.766
-15.22	0.179199	-15.22	-0.761
-15.12	0.165527	-15.12	-0.756
-15.02	0.17334	-15.02	-0.751
-14.92	0.165527	-14.92	-0.746
-14.82	0.157715	-14.82	-0.741
-14.72	0.155762	-14.72	-0.736
-14.62	0.145996	-14.62	-0.731
-14.52	0.145996	-14.52	-0.726
-14.42	0.13623	-14.42	-0.721
-14.32	0.13623	-14.32	-0.716
-14.22	0.126465	-14.22	-0.711
-14.12	0.126465	-14.12	-0.706
-14.02	0.116699	-14.02	-0.701
-13.92	0.116699	-13.92	-0.696
-13.82	0.114746	-13.82	-0.691
-13.72	0.116699	-13.72	-0.686
-13.62	0.0991211	-13.62	-0.681
-13.52	0.097168	-13.52	-0.676
-13.42	0.0854492	-13.42	-0.671
-13.32	0.0756836	-13.32	-0.666
-13.22	0.0756836	-13.22	-0.661
-13.12	0.065918	-13.12	-0.656
-13.02	0.065918	-13.02	-0.651
-12.92	0.0561523	-12.92	-0.646
-12.82	0.0561523	-12.82	-0.641
-12.72	0.0463867	-12.72	-0.636
-12.62	0.0385742	-12.62	-0.631
-12.52	0.0268555	-12.52	-0.626
-12.42	0.0268555	-12.42	-0.621
-12.32	0.0170898	-12.32	-0.616
-12.22	0.0170898	-12.22	-0.611
-12.12	7.32422e-3	-12.12	-0.606
-12.02	7.32422e-3	-12.02	-0.601
-11.92	-4.39453e-3	-11.92	-0.596
-11.82	-4.39453e-3	-11.82	-0.591
-11.72	-0.0141602	-11.72	-0.586
-11.62	-6.34766e-3	-11.62	-0.581
-11.52	-0.0141602	-11.52	-0.576
-11.42	-0.0141602	-11.42	-0.571
-11.32	-0.0239258	-11.32	-0.566
-11.22	-0.0239258	-11.22	-0.561
-11.12	-0.0336914	-11.12	-0.556
-11.02	-0.0356445	-11.02	-0.551
-10.92	-0.0336914	-10.92	-0.546
-10.82	-0.0336914	-10.82	-0.541
-10.72	-0.0356445	-10.72	-0.536
-10.62	-0.0336914	-10.62	-0.531
-10.52	-0.043457	-10.52	-0.526
-10.42	-0.0532227	-10.42	-0.521
-10.32	-0.0454102	-10.32	-0.516
-10.22	-0.0551758	-10.22	-0.511
-10.12	-0.0551758	-10.12	-0.506
-10.02	-0.0473633	-10.02	-0.501
-9.92	-0.0551758	-9.92	-0.496
-9.82	-0.0551758	-9.82	-0.491
-9.72	-0.0649414	-9.72	-0.486
-9.62	-0.074707	-9.62	-0.481
-9.52	-0.074707	-9.52	-0.476
-9.42	-0.0771484	-9.42	-0.471
-9.32	-0.0668945	-9.32	-0.466
-9.22	-0.0844727	-9.22	-0.461
-9.12	-0.0883789	-9.12	-0.456
-9.02	-0.0883789	-9.02	-0.451
-8.92	-0.0869141	-8.92	-0.446
-8.82	-0.0766602	-8.82	-0.441
-8.72	-0.0786133	-8.72	-0.436
-8.62	-0.0786133	-8.62	-0.431
-8.52	-0.0966797	-8.52	-0.426
-8.42	-0.0981445	-8.42	-0.421
-8.32	-0.0981445	-8.32	-0.416
-8.22	-0.0883789	-8.22	-0.411
-8.12	-0.0791016	-8.12	-0.406
-8.02	-0.0766602	-8.02	-0.401
-7.92	-0.0786133	-7.92	-0.396
-7.82	-0.0786133	-7.82	-0.391
-7.72	-0.0771484	-7.72	-0.386
-7.62	-0.0688477	-7.62	-0.381
-7.52	-0.0688477	-7.52	-0.376
-7.42	-0.0673828	-7.42	-0.371
-7.32	-0.0668945	-7.32	-0.366
-7.22	-0.0571289	-7.22	-0.361
-7.12	-0.0571289	-7.12	-0.356
-7.02	-0.059082	-7.02	-0.351
-6.92	-0.0576172	-6.92	-0.346
-6.82	-0.0571289	-6.82	-0.341
-6.72	-0.0571289	-6.72	-0.336
-6.62	-0.059082	-6.62	-0.331
-6.52	-0.0576172	-6.52	-0.326
-6.42	-0.0571289	-6.42	-0.321
-6.32	-0.0493164	-6.32	-0.316
-6.22	-0.0478516	-6.22	-0.311
-6.12	-0.0551758	-6.12	-0.306
-6.02	-0.0493164	-6.02	-0.301
-5.92	-0.0395508	-5.92	-0.296
-5.82	-0.0380859	-5.82	-0.291
-5.72	-0.0200195	-5.72	-0.286
-5.62	1.46484e-3	-5.62	-0.281
-5.52	0.0302734	-5.52	-0.276
-5.42	0.0678711	-5.42	-0.271
-5.32	0.0893555	-5.32	-0.266
-5.22	0.12793	-5.22	-0.261
-5.12	0.177246	-5.12	-0.256
-5.02	0.235352	-5.02	-0.251
-4.92	0.300293	-4.92	-0.246
-4.82	0.360352	-4.82	-0.241
-4.72	0.394043	-4.72	-0.236
-4.62	0.425293	-4.62	-0.231
-4.52	0.446777	-4.52	-0.226
-4.42	0.464355	-4.42	-0.221
-4.32	0.476074	-4.32	-0.216
-4.22	0.468262	-4.22	-0.211
-4.12	0.476074	-4.12	-0.206
-4.02	0.483887	-4.02	-0.201
-3.92	0.51709	-3.92	-0.196
-3.82	0.519043	-3.82	-0.191
-3.72	0.503418	-3.72	-0.186
-3.62	0.466797	-3.62	-0.181
-3.52	0.433594	-3.52	-0.176
-3.42	0.395996	-3.42	-0.171
-3.32	0.365234	-3.32	-0.166
-3.22	0.320313	-3.22	-0.161
-3.12	0.278809	-3.12	-0.156
-3.02	0.230469	-3.02	-0.151
-2.92	0.181641	-2.92	-0.146
-2.82	0.150391	-2.82	-0.141
-2.72	0.119141	-2.72	-0.136
-2.62	0.0917969	-2.62	-0.131
-2.52	0.0605469	-2.52	-0.126
-2.42	0.0112305	-2.42	-0.121
-2.32	-0.0566406	-2.32	-0.116
-2.22	-0.128906	-2.22	-0.111
-2.12	-0.21875	-2.12	-0.106
-2.02	-0.347412	-2.02	-0.101
-1.92	-0.449707	-1.92	-0.0959999
-1.82	-0.533203	-1.82	-0.091
-1.72	-0.617188	-1.72	-0.0859999
-1.62	-0.664551	-1.62	-0.0809999
-1.52	-0.684082	-1.52	-0.076
-1.42	-0.706055	-1.42	-0.0709999
-1.32	-0.725098	-1.32	-0.066
-1.22	-0.703613	-1.22	-0.0609999
-1.12	-0.665039	-1.12	-0.0559999
-1.02	-0.616211	-1.02	-0.051
-0.919998	-0.557129	-0.919998	-0.0459999
-0.82	-0.477539	-0.82	-0.041
-0.719997	-0.389648	-0.719997	-0.0359999
-0.619999	-0.325195	-0.619999	-0.0309999
-0.52	-0.180908	-0.52	-0.026
-0.419998	-0.174316	-0.419998	-0.0209999
-0.32	-0.142578	-0.32	-0.016
-0.219997	0.275391	-0.219997	-0.0109999
-0.119999	1.06079	-0.119999	-5.99995e-3
-0.0200005	3.1543	-0.0200005	-1.00002e-3
0.0800018	5.25806	0.0800018	-8.952
0.18	4.18945	0.18	-8.93667
0.280003	1.48657	0.280003	-8.92134
0.380001	0.0712891	0.380001	-8.90602
0.48	-0.251221	0.48	-8.89069
0.579998	-0.228271	0.579998	-8.87536
0.680004	-0.143066	0.680004	-8.86004
0.780003	0.0632324	0.780003	-8.84471
0.880001	0.201416	0.880001	-8.82939
0.98	0.328125	0.98	-8.81406
1.08	0.517578	1.08	-8.79874
1.18	0.675781	1.18	-8.78341
1.28	0.728027	1.28	-8.76809
1.38	0.85498	1.38	-8.75276
1.48	0.921387	1.48	-8.73744
1.58	0.96875	1.58	-8.72212
1.68	1.02686	1.68	-8.70679
1.78	1.0835	1.78	-8.69147
1.88	1.13184	1.88	-8.67615
1.98	1.18311	1.98	-8.66083
2.08	1.25732	2.08	-8.6455
2.18	1.28223	2.18	-8.63018
2.28	1.31201	2.28	-8.61486
2.38	1.31982	2.38	-8.59954
2.48	1.35107	2.48	-8.58422
