Cycle: 15  CDAN-D1080A_X	Cycle: 15  CDAN-D1080A_Y	Fitted Cycle: 15  CDAN-D1080A_X	Fitted Cycle: 15  CDAN-D1080A_Y
-31.92	1.104	-31.92	-1.596
-31.82	1.09424	-31.82	-1.591
-31.72	1.09424	-31.72	-1.586
-31.62	1.08447	-31.62	-1.581
-31.52	1.08252	-31.52	-1.576
-31.42	1.08447	-31.42	-1.571
-31.32	1.07471	-31.32	-1.566
-31.22	1.06494	-31.22	-1.561
-31.12	1.06104	-31.12	-1.556
-31.02	1.06299	-31.02	-1.551
-30.92	1.05322	-30.92	-1.546
-30.82	1.05322	-30.82	-1.541
-30.72	1.04346	-30.72	-1.536
-30.62	1.03369	-30.62	-1.531
-30.52	1.04297	-30.52	-1.526
-30.42	1.03564	-30.42	-1.521
-30.32	1.02588	-30.32	-1.516
-30.22	1.02588	-30.22	-1.511
-30.12	1.01611	-30.12	-1.506
-30.02	1.01611	-30.02	-1.501
-29.92	1.00635	-29.92	-1.496
-29.82	0.996582	-29.82	-1.491
-29.72	1.00439	-29.72	-1.486
-29.62	0.994629	-29.62	-1.481
-29.52	0.984863	-29.52	-1.476
-29.42	0.984863	-29.42	-1.471
-29.32	0.975098	-29.32	-1.466
-29.22	0.975098	-29.22	-1.461
-29.12	0.965332	-29.12	-1.456
-29.02	0.963379	-29.02	-1.451
-28.92	0.965332	-28.92	-1.446
-28.82	0.955566	-28.82	-1.441
-28.72	0.955566	-28.72	-1.436
-28.62	0.945801	-28.62	-1.431
-28.52	0.945801	-28.52	-1.426
-28.42	0.943848	-28.42	-1.421
-28.32	0.945801	-28.32	-1.416
-28.22	0.934082	-28.22	-1.411
-28.12	0.934082	-28.12	-1.406
-28.02	0.924316	-28.02	-1.401
-27.92	0.922363	-27.92	-1.396
-27.82	0.924316	-27.82	-1.391
-27.72	0.914551	-27.72	-1.386
-27.62	0.914551	-27.62	-1.381
-27.52	0.904785	-27.52	-1.376
-27.42	0.89502	-27.42	-1.371
-27.32	0.885254	-27.32	-1.366
-27.22	0.885254	-27.22	-1.361
-27.12	0.875488	-27.12	-1.356
-27.02	0.86377	-27.02	-1.351
-26.92	0.86377	-26.92	-1.346
-26.82	0.861816	-26.82	-1.341
-26.72	0.86377	-26.72	-1.336
-26.62	0.854004	-26.62	-1.331
-26.52	0.844238	-26.52	-1.326
-26.42	0.844238	-26.42	-1.321
-26.32	0.834473	-26.32	-1.316
-26.22	0.83252	-26.22	-1.311
-26.12	0.834473	-26.12	-1.306
-26.02	0.824707	-26.02	-1.301
-25.92	0.814941	-25.92	-1.296
-25.82	0.814941	-25.82	-1.291
-25.72	0.805176	-25.72	-1.286
-25.62	0.80127	-25.62	-1.281
-25.52	0.803223	-25.52	-1.276
-25.42	0.793457	-25.42	-1.271
-25.32	0.783691	-25.32	-1.266
-25.22	0.783691	-25.22	-1.261
-25.12	0.773926	-25.12	-1.256
-25.02	0.76416	-25.02	-1.251
-24.92	0.76416	-24.92	-1.246
-24.82	0.754395	-24.82	-1.241
-24.72	0.762207	-24.72	-1.236
-24.62	0.754395	-24.62	-1.231
-24.52	0.754395	-24.52	-1.226
-24.42	0.744629	-24.42	-1.221
-24.32	0.744629	-24.32	-1.216
-24.22	0.73291	-24.22	-1.211
-24.12	0.732422	-24.12	-1.206
-24.02	0.734863	-24.02	-1.201
-23.92	0.725098	-23.92	-1.196
-23.82	0.725098	-23.82	-1.191
-23.72	0.723145	-23.72	-1.186
