Cycle: 7  C15D171A_X	Cycle: 7  C15D171A_Y	Fitted Cycle: 7  C15D171A_X	Fitted Cycle: 7  C15D171A_Y
-31.76	0.75708	-31.76	-1.62706
-31.66	0.75708	-31.66	-1.62194
-31.56	0.75708	-31.56	-1.61682
-31.46	0.747314	-31.46	-1.6117
-31.36	0.747314	-31.36	-1.60657
-31.26	0.747314	-31.26	-1.60145
-31.16	0.737549	-31.16	-1.59633
-31.06	0.737549	-31.06	-1.5912
-30.96	0.737549	-30.96	-1.58608
-30.86	0.727783	-30.86	-1.58096
-30.76	0.727783	-30.76	-1.57583
-30.66	0.727783	-30.66	-1.57071
-30.56	0.727783	-30.56	-1.56559
-30.46	0.718018	-30.46	-1.56047
-30.36	0.718018	-30.36	-1.55534
-30.26	0.718018	-30.26	-1.55022
-30.16	0.718018	-30.16	-1.5451
-30.06	0.708252	-30.06	-1.53997
-29.96	0.708252	-29.96	-1.53485
-29.86	0.708252	-29.86	-1.52973
-29.76	0.708252	-29.76	-1.5246
-29.66	0.696533	-29.66	-1.51948
-29.56	0.696533	-29.56	-1.51436
-29.46	0.696533	-29.46	-1.50924
-29.36	0.686768	-29.36	-1.50411
-29.26	0.686768	-29.26	-1.49899
-29.16	0.686768	-29.16	-1.49387
-29.06	0.677002	-29.06	-1.48874
-28.96	0.673096	-28.96	-1.48362
-28.86	0.667236	-28.86	-1.4785
-28.76	0.657471	-28.76	-1.47337
-28.66	0.657471	-28.66	-1.46825
-28.56	0.657471	-28.56	-1.46313
-28.46	0.651611	-28.46	-1.45801
-28.36	0.657471	-28.36	-1.45288
-28.26	0.657471	-28.26	-1.44776
-28.16	0.647705	-28.16	-1.44264
-28.06	0.647705	-28.06	-1.43751
-27.96	0.643799	-27.96	-1.43239
-27.86	0.628174	-27.86	-1.42727
-27.76	0.628174	-27.76	-1.42214
-27.66	0.628174	-27.66	-1.41702
-27.56	0.618408	-27.56	-1.4119
-27.46	0.618408	-27.46	-1.40678
-27.36	0.618408	-27.36	-1.40165
