Cycle: 13  CDAN-E1046A_X	Cycle: 13  CDAN-E1046A_Y	Fitted Cycle: 13  CDAN-E1046A_X	Fitted Cycle: 13  CDAN-E1046A_Y
-13.92	0.141113	-13.92	-0.696
-13.82	0.143066	-13.82	-0.691
-13.72	0.133301	-13.72	-0.686
-13.62	0.133301	-13.62	-0.681
-13.52	0.123535	-13.52	-0.676
-13.42	0.123535	-13.42	-0.671
-13.32	0.11377	-13.32	-0.666
-13.22	0.102051	-13.22	-0.661
-13.12	0.102051	-13.12	-0.656
-13.02	0.0922852	-13.02	-0.651
-12.92	0.0825195	-12.92	-0.646
-12.82	0.0825195	-12.82	-0.641
-12.72	0.0727539	-12.72	-0.636
-12.62	0.0629883	-12.62	-0.631
-12.52	0.0551758	-12.52	-0.626
-12.42	0.043457	-12.42	-0.621
-12.32	0.043457	-12.32	-0.616
-12.22	0.043457	-12.22	-0.611
-12.12	0.0336914	-12.12	-0.606
-12.02	0.0239258	-12.02	-0.601
-11.92	0.0317383	-11.92	-0.596
-11.82	0.0219727	-11.82	-0.591
-11.72	0.0219727	-11.72	-0.586
-11.62	0.012207	-11.62	-0.581
-11.52	0.012207	-11.52	-0.576
-11.42	2.44141e-3	-11.42	-0.571
-11.32	-7.32422e-3	-11.32	-0.566
-11.22	1.95313e-3	-11.22	-0.561
-11.12	-5.37109e-3	-11.12	-0.556
-11.02	-0.0151367	-11.02	-0.551
-10.92	-0.0170898	-10.92	-0.546
-10.82	-0.0151367	-10.82	-0.541
-10.72	-0.0249023	-10.72	-0.536
-10.62	-0.0366211	-10.62	-0.531
-10.52	-0.0288086	-10.52	-0.526
-10.42	-0.0366211	-10.42	-0.521
-10.32	-0.0366211	-10.32	-0.516
-10.22	-0.0463867	-10.22	-0.511
-10.12	-0.0483398	-10.12	-0.506
-10.02	-0.0463867	-10.02	-0.501
-9.92	-0.0561523	-9.92	-0.496
-9.82	-0.0581055	-9.82	-0.491
-9.72	-0.0561523	-9.72	-0.486
-9.62	-0.065918	-9.62	-0.481
-9.52	-0.0581055	-9.52	-0.476
-9.42	-0.065918	-9.42	-0.471
-9.32	-0.065918	-9.32	-0.466
-9.22	-0.0756836	-9.22	-0.461
-9.12	-0.0678711	-9.12	-0.456
-9.02	-0.065918	-9.02	-0.451
-8.92	-0.0800781	-8.92	-0.446
-8.82	-0.0795898	-8.82	-0.441
-8.72	-0.0874023	-8.72	-0.436
-8.62	-0.0991211	-8.62	-0.431
-8.52	-0.103027	-8.52	-0.426
-8.42	-0.109375	-8.42	-0.421
-8.32	-0.11084	-8.32	-0.416
-8.22	-0.112793	-8.22	-0.411
-8.12	-0.120605	-8.12	-0.406
-8.02	-0.132813	-8.02	-0.401
-7.92	-0.130371	-7.92	-0.396
-7.82	-0.130371	-7.82	-0.391
-7.72	-0.121094	-7.72	-0.386
-7.62	-0.112793	-7.62	-0.381
-7.52	-0.11084	-7.52	-0.376
-7.42	-0.0917969	-7.42	-0.371
-7.32	-0.0893555	-7.32	-0.366
-7.22	-0.0834961	-7.22	-0.361
-7.12	-0.081543	-7.12	-0.356
-7.02	-0.0800781	-7.02	-0.351
-6.92	-0.0717773	-6.92	-0.346
-6.82	-0.0698242	-6.82	-0.341
-6.72	-0.0800781	-6.72	-0.336
-6.62	-0.0717773	-6.62	-0.331
-6.52	-0.0795898	-6.52	-0.326
-6.42	-0.0737305	-6.42	-0.321
-6.32	-0.0703125	-6.32	-0.316
-6.22	-0.0717773	-6.22	-0.311
-6.12	-0.0717773	-6.12	-0.306
-6.02	-0.0703125	-6.02	-0.301
-5.92	-0.0795898	-5.92	-0.296
-5.82	-0.0620117	-5.82	-0.291
-5.72	-0.0410156	-5.72	-0.286
-5.62	-0.0698242	-5.62	-0.281
-5.52	-0.0600586	-5.52	-0.276
-5.42	-0.0327148	-5.42	-0.271
-5.32	-9.76563e-3	-5.32	-0.266
-5.22	0.0629883	-5.22	-0.261
-5.12	0.126953	-5.12	-0.256
-5.02	0.203613	-5.02	-0.251
-4.92	0.275391	-4.92	-0.246
-4.82	0.322754	-4.82	-0.241
-4.72	0.375488	-4.72	-0.236
-4.62	0.42041	-4.62	-0.231
-4.52	0.441895	-4.52	-0.226
-4.42	0.453613	-4.42	-0.221
-4.32	0.472656	-4.32	-0.216
-4.22	0.484863	-4.22	-0.211
-4.12	0.475586	-4.12	-0.206
-4.02	0.48291	-4.02	-0.201
-3.92	0.492676	-3.92	-0.196
-3.82	0.512207	-3.82	-0.191
-3.72	0.498535	-3.72	-0.186
-3.62	0.473145	-3.62	-0.181
-3.52	0.43457	-3.52	-0.176
-3.42	0.393555	-3.42	-0.171
