Cycle: 4  c15-c089_X	Cycle: 4  c15-c089_Y	Fitted Cycle: 4  c15-c089_X	Fitted Cycle: 4  c15-c089_Y
-40.96	0.244507	-40.96	-2.62308
-40.86	0.244507	-40.86	-2.61667
-40.76	0.244507	-40.76	-2.61027
-40.66	0.248413	-40.66	-2.60387
-40.56	0.254272	-40.56	-2.59746
-40.46	0.254272	-40.46	-2.59106
-40.36	0.254272	-40.36	-2.58465
-40.26	0.264038	-40.26	-2.57825
-40.16	0.264038	-40.16	-2.57185
-40.06	0.264038	-40.06	-2.56544
-39.96	0.264038	-39.96	-2.55904
-39.86	0.264038	-39.86	-2.55263
-39.76	0.264038	-39.76	-2.54623
-39.66	0.264038	-39.66	-2.53983
-39.56	0.264038	-39.56	-2.53342
-39.46	0.264038	-39.46	-2.52702
-39.36	0.264038	-39.36	-2.52061
-39.26	0.267944	-39.26	-2.51421
-39.16	0.273804	-39.16	-2.50781
-39.06	0.273804	-39.06	-2.5014
-38.96	0.273804	-38.96	-2.495
-38.86	0.273804	-38.86	-2.48859
-38.76	0.273804	-38.76	-2.48219
-38.66	0.273804	-38.66	-2.47579
-38.56	0.273804	-38.56	-2.46938
-38.46	0.273804	-38.46	-2.46298
-38.36	0.273804	-38.36	-2.45657
-38.26	0.273804	-38.26	-2.45017
-38.16	0.273804	-38.16	-2.44377
-38.06	0.273804	-38.06	-2.43736
-37.96	0.273804	-37.96	-2.43096
-37.86	0.273804	-37.86	-2.42455
-37.76	0.273804	-37.76	-2.41815
-37.66	0.273804	-37.66	-2.41175
-37.56	0.273804	-37.56	-2.40534
-37.46	0.278442	-37.46	-2.39894
-37.36	0.285522	-37.36	-2.39253
-37.26	0.285522	-37.26	-2.38613
-37.16	0.285522	-37.16	-2.37973
-37.06	0.285522	-37.06	-2.37332
-36.96	0.285522	-36.96	-2.36692
-36.86	0.285522	-36.86	-2.36051
-36.76	0.297241	-36.76	-2.35411
-36.66	0.292603	-36.66	-2.34771
-36.56	0.285522	-36.56	-2.3413
-36.46	0.285522	-36.46	-2.3349
-36.36	0.285522	-36.36	-2.32849
-36.26	0.285522	-36.26	-2.32209
-36.16	0.285522	-36.16	-2.31569
-36.06	0.285522	-36.06	-2.30928
-35.96	0.285522	-35.96	-2.30288
-35.86	0.290161	-35.86	-2.29647
-35.76	0.292603	-35.76	-2.29007
-35.66	0.285522	-35.66	-2.28367
-35.56	0.285522	-35.56	-2.27726
-35.46	0.290161	-35.46	-2.27086
-35.36	0.292603	-35.36	-2.26445
-35.26	0.285522	-35.26	-2.25805
-35.16	0.285522	-35.16	-2.25165
-35.06	0.290161	-35.06	-2.24524
-34.96	0.297241	-34.96	-2.23884
-34.86	0.297241	-34.86	-2.23243
-34.76	0.292603	-34.76	-2.22603
-34.66	0.285522	-34.66	-2.21963
-34.56	0.285522	-34.56	-2.21322
