Cycle: 8  C15N146A_X	Cycle: 8  C15N146A_Y	Fitted Cycle: 8  C15N146A_X	Fitted Cycle: 8  C15N146A_Y
-34.86	0.800049	-34.86	0.284667
-34.76	0.800049	-34.76	0.28385
-34.66	0.800049	-34.66	0.283034
-34.56	0.800049	-34.56	0.282217
-34.46	0.790283	-34.46	0.2814
-34.36	0.790283	-34.36	0.280584
-34.26	0.780518	-34.26	0.279767
-34.16	0.784424	-34.16	0.278951
-34.06	0.790283	-34.06	0.278134
-33.96	0.780518	-33.96	0.277317
-33.86	0.780518	-33.86	0.276501
-33.76	0.770752	-33.76	0.275684
-33.66	0.770752	-33.66	0.274868
-33.56	0.770752	-33.56	0.274051
-33.46	0.770752	-33.46	0.273234
-33.36	0.760986	-33.36	0.272418
-33.26	0.760986	-33.26	0.271601
-33.16	0.751221	-33.16	0.270785
-33.06	0.751221	-33.06	0.269968
-32.96	0.751221	-32.96	0.269151
-32.86	0.741455	-32.86	0.268335
-32.76	0.741455	-32.76	0.267518
-32.66	0.741455	-32.66	0.266702
-32.56	0.745361	-32.56	0.265885
-32.46	0.741455	-32.46	0.265068
-32.36	0.741455	-32.36	0.264252
-32.26	0.741455	-32.26	0.263435
-32.16	0.729736	-32.16	0.262619
-32.06	0.729736	-32.06	0.261802
-31.96	0.729736	-31.96	0.260985
-31.86	0.719971	-31.86	0.260169
-31.76	0.723877	-31.76	0.259352
-31.66	0.729736	-31.66	0.258536
-31.56	0.719971	-31.56	0.257719
-31.46	0.719971	-31.46	0.256902
-31.36	0.719971	-31.36	0.256086
-31.26	0.710205	-31.26	0.255269
-31.16	0.710205	-31.16	0.254453
-31.06	0.700439	-31.06	0.253636
-30.96	0.700439	-30.96	0.252819
-30.86	0.700439	-30.86	0.252003
-30.76	0.690674	-30.76	0.251186
-30.66	0.690674	-30.66	0.25037
-30.56	0.695313	-30.56	0.249553
-30.46	0.692627	-30.46	0.248736
-30.36	0.692627	-30.36	0.24792
-30.26	0.692627	-30.26	0.247103
-30.16	0.682861	-30.16	0.246287
-30.06	0.682861	-30.06	0.24547
-29.96	0.682861	-29.96	0.244653
-29.86	0.671143	-29.86	0.243837
-29.76	0.671143	-29.76	0.24302
-29.66	0.671143	-29.66	0.242204
-29.56	0.675049	-29.56	0.241387
-29.46	0.671143	-29.46	0.24057
-29.36	0.671143	-29.36	0.239754
-29.26	0.671143	-29.26	0.238937
-29.16	0.671143	-29.16	0.238121
-29.06	0.661377	-29.06	0.237304
-28.96	0.661377	-28.96	0.236487
-28.86	0.661377	-28.86	0.235671
-28.76	0.651611	-28.76	0.234854
-28.66	0.651611	-28.66	0.234038
-28.56	0.651611	-28.56	0.233221
-28.46	0.641846	-28.46	0.232404
-28.36	0.641846	-28.36	0.231588
-28.26	0.645752	-28.26	0.230771
-28.16	0.641846	-28.16	0.229955
-28.06	0.641846	-28.06	0.229138
-27.96	0.641846	-27.96	0.228321
-27.86	0.63208	-27.86	0.227505
-27.76	0.63208	-27.76	0.226688
-27.66	0.63208	-27.66	0.225872
-27.56	0.618408	-27.56	0.225055
-27.46	0.612549	-27.46	0.224238
-27.36	0.616455	-27.36	0.223422
-27.26	0.606689	-27.26	0.222605
-27.16	0.604736	-27.16	0.221789
-27.06	0.606689	-27.06	0.220972
-26.96	0.591064	-26.96	0.220155
-26.86	0.594971	-26.86	0.219339
-26.76	0.596924	-26.76	0.218522
-26.66	0.591064	-26.66	0.217706
-26.56	0.581299	-26.56	0.216889
-26.46	0.581299	-26.46	0.216072
-26.36	0.581299	-26.36	0.215256
-26.26	0.571533	-26.26	0.214439
-26.16	0.571533	-26.16	0.213623
-26.06	0.571533	-26.06	0.212806
-25.96	0.561768	-25.96	0.211989
-25.86	0.561768	-25.86	0.211173
-25.76	0.561768	-25.76	0.210356
-25.66	0.552002	-25.66	0.20954
-25.56	0.552002	-25.56	0.208723
-25.46	0.548096	-25.46	0.207906
-25.36	0.532471	-25.36	0.20709
-25.26	0.532471	-25.26	0.206273
-25.16	0.532471	-25.16	0.205457
-25.06	0.522705	-25.06	0.20464
-24.96	0.522705	-24.96	0.203823
-24.86	0.522705	-24.86	0.203007
-24.76	0.512939	-24.76	0.20219
-24.66	0.516846	-24.66	0.201374
-24.56	0.522705	-24.56	0.200557
-24.46	0.522705	-24.46	0.19974
-24.36	0.510986	-24.36	0.198924
-24.26	0.510986	-24.26	0.198107
-24.16	0.510986	-24.16	0.197291
-24.06	0.510986	-24.06	0.196474
-23.96	0.501221	-23.96	0.195657
-23.86	0.501221	-23.86	0.194841
-23.76	0.501221	-23.76	0.194024
-23.66	0.491455	-23.66	0.193208
-23.56	0.491455	-23.56	0.192391
-23.46	0.491455	-23.46	0.191574
-23.36	0.491455	-23.36	0.190758
-23.26	0.481689	-23.26	0.189941
-23.16	0.481689	-23.16	0.189125
-23.06	0.481689	-23.06	0.188308
-22.96	0.481689	-22.96	0.187491
-22.86	0.471924	-22.86	0.186675
-22.76	0.471924	-22.76	0.185858
-22.66	0.471924	-22.66	0.185042
-22.56	0.471924	-22.56	0.184225
-22.46	0.462158	-22.46	0.183408
-22.36	0.462158	-22.36	0.182592
-22.26	0.462158	-22.26	0.181775
-22.16	0.462158	-22.16	0.180959
-22.06	0.462158	-22.06	0.180142
-21.96	0.452393	-21.96	0.179325
-21.86	0.452393	-21.86	0.178509
-21.76	0.448486	-21.76	0.177692
-21.66	0.442627	-21.66	0.176876
-21.56	0.442627	-21.56	0.176059
-21.46	0.432861	-21.46	0.175242
-21.36	0.428223	-21.36	0.174426
-21.26	0.421143	-21.26	0.173609
-21.16	0.421143	-21.16	0.172793
-21.06	0.421143	-21.06	0.171976
-20.96	0.409424	-20.96	0.171159
-20.86	0.409424	-20.86	0.170343
-20.76	0.409424	-20.76	0.169526
-20.66	0.405518	-20.66	0.16871
-20.56	0.389893	-20.56	0.167893
-20.46	0.389893	-20.46	0.167076
-20.36	0.389893	-20.36	0.16626
-20.26	0.389893	-20.26	0.165443
-20.16	0.380127	-20.16	0.164627
-20.06	0.376221	-20.06	0.16381
-19.96	0.370361	-19.96	0.162993
-19.86	0.360596	-19.86	0.162177
-19.76	0.360596	-19.76	0.16136
-19.66	0.356689	-19.66	0.160544
-19.56	0.35083	-19.56	0.159727
-19.46	0.35083	-19.46	0.15891
-19.36	0.341064	-19.36	0.158094
-19.26	0.341064	-19.26	0.157277
-19.16	0.337158	-19.16	0.156461
-19.06	0.331299	-19.06	0.155644
-18.96	0.331299	-18.96	0.154827
-18.86	0.321533	-18.86	0.154011
-18.76	0.321533	-18.76	0.153194
-18.66	0.317627	-18.66	0.152378
-18.56	0.311768	-18.56	0.151561
-18.46	0.302002	-18.46	0.150744
-18.36	0.302002	-18.36	0.149928
-18.26	0.298096	-18.26	0.149111
-18.16	0.292236	-18.16	0.148295
-18.06	0.292236	-18.06	0.147478
-17.96	0.282471	-17.96	0.146661
