"Volume (mL)"	"BioRad Standards"	"BioRad Standards"	"BioRad Standards"	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
-1.582990	3.355182					
-1.582000	3.299454					
-1.581000	3.265812					
-1.580010	3.282984					
-1.579020	3.249882					
-1.578030	3.193236					
-1.577030	3.179682					
-1.576040	3.150846					
-1.575050	3.121308					
-1.574060	3.094848					
-1.573060	3.046464					
-1.572070	3.029130					
-1.571080	2.997216					
-1.570090	2.964276					
-1.569090	2.915568					
-1.568100	2.937654					
-1.567110	2.913948					
-1.566110	2.870100					
-1.565120	2.832300					
-1.564130	2.781216					
-1.563140	2.740068					
-1.562140	2.718900					
-1.561150	2.713068					
-1.560160	2.683422					
-1.559170	2.638494					
-1.558170	2.612952					
-1.557180	2.606094					
-1.556190	2.570184					
-1.555200	2.505600					
-1.554200	2.487294					
-1.553210	2.501496					
-1.552220	2.488266					
-1.551220	2.444958					
-1.550230	2.411748					
-1.549240	2.349810					
-1.548250	2.333340					
-1.547250	2.358882					
-1.546260	2.302452					
-1.545270	2.269296					
-1.544280	2.259360					
-1.543280	2.257254					
-1.542290	2.255364					
-1.541300	2.224962					
-1.540310	2.125818					
-1.539310	2.053296					
-1.538320	1.996218					
-1.537330	1.994274					
-1.536340	1.948050					
-1.535340	1.897074					
-1.534350	1.858248					
-1.533360	1.810404					
-1.532360	1.756026					
-1.531370	1.744146					
-1.530380	1.716228					
-1.529390	1.664280					
-1.528390	1.622214					
-1.527400	1.614006					
-1.526410	1.590084					
-1.525420	1.511838					
-1.524420	1.442988					
-1.523430	1.405890					
-1.522440	1.400112					
-1.521440	1.369764					
-1.520450	1.319652					
-1.519460	1.295946					
-1.518470	1.272888					
-1.517470	1.235088					
-1.516480	1.179792					
-1.515490	1.139724					
-1.514500	1.100412					
-1.513500	1.081458					
-1.512510	1.064934					
-1.511520	1.033398					
-1.510530	0.983232					
-1.509530	0.971622					
-1.508540	0.996354					
-1.507550	0.987444					
-1.506550	0.948078					
-1.505560	0.932526					
-1.504570	0.950238					
-1.503580	0.945594					
-1.502580	0.893916					
-1.501590	0.836352					
-1.500600	0.807192					
-1.499610	0.776088					
-1.498610	0.755568					
-1.497620	0.708048					
-1.496630	0.659394					
-1.495640	0.673596					
-1.494640	0.685638					
-1.493650	0.629964					
-1.492660	0.587628					
-1.491660	0.563976					
-1.490670	0.551448					
-1.489680	0.570996					
-1.488690	0.594000					
-1.487690	0.574182					
-1.486700	0.516996					
-1.485710	0.490806					
-1.484720	0.488484					
-1.483720	0.458082					
-1.482730	0.437346					
-1.481740	0.439992					
-1.480750	0.433782					
-1.479750	0.414882					
-1.478760	0.415206					
-1.477770	0.399978					
-1.476770	0.433296					
-1.475780	0.437292					
-1.474790	0.426438					
-1.473800	0.418716					
-1.472800	0.396684					
-1.471810	0.364392					
-1.470820	0.346248					
-1.469830	0.365742					
-1.468830	0.380754					
-1.467840	0.391932					
-1.466850	0.391284					
-1.465860	0.337068					
-1.464860	0.299376					
-1.463870	0.282960					
-1.462880	0.237600					
-1.461880	0.145800					
-1.460890	0.093150					
-1.459900	0.108378					
-1.458910	0.083106					
-1.457910	0.049194					
-1.456920	-0.014630					
-1.455930	-0.018850					
-1.454940	-0.060970					
-1.453940	-0.099950					
-1.452950	-0.135320					
-1.451960	-0.100280					
-1.450970	-0.112540					
-1.449970	-0.099950					
-1.448980	-0.107780					
-1.447990	-0.108270					
-1.446990	-0.082510					
-1.446000	-0.084190					
-1.445010	-0.093470					
-1.444020	-0.120850					
-1.443020	-0.127010					
-1.442030	-0.124250					
-1.441040	-0.134780					
-1.440050	-0.140670					
-1.439050	-0.150120					
-1.438060	-0.164320					
-1.437070	-0.163890					
-1.436080	-0.165020					
-1.435080	-0.211790					
-1.434090	-0.248080					
-1.433100	-0.261790					
-1.432100	-0.241760					
-1.431110	-0.250670					
-1.430120	-0.282530					
-1.429130	-0.352840					
-1.428130	-0.354020					
-1.427140	-0.373570					
-1.426150	-0.472880					
-1.425160	-0.598750					
-1.424160	-0.663930					
-1.423170	-0.676460					
-1.422180	-0.730400					
-1.421190	-0.753190					
-1.420190	-0.782350					
-1.419200	-0.748120					
-1.418210	-0.780520					
-1.417210	-0.822150					
-1.416220	-0.841370					
-1.415230	-0.816100					
-1.414240	-0.850930					
-1.413240	-0.873610					
