"Vol (mL)"	CDIN1L178Q	CDIN1L178Q	CDIN1L178Q	Codanin-1	Codanin-1	Codanin-1	"CDIN1L178Q- Codanin-1"	"CDIN1L178Q- Codanin-1"	"CDIN1L178Q- Codanin-1"
57.5400				5.280					
57.6700				5.400					
57.8000				5.520					
57.9200				5.600					
58.0500				5.880					
58.1700				5.920					
58.3000				6.120					
58.4200				6.080					
58.5500				6.280					
58.6700				6.480					
58.8000				6.520					
58.9200				6.720					
59.0500				6.840					
59.1700				7.000					
59.3000				7.120					
59.4200				7.440					
59.5500				7.320					
59.6700				7.560					
59.8000				7.720					
59.9200				7.720					
60.0500				8.040					
60.1700				8.000					
60.3000				8.280					
60.4200				8.440					
60.5500				8.520					
60.6700				8.640					
60.8000				8.760					
60.9200				9.000					
61.0500				9.160					
61.1700				9.360					
61.3000				9.360					
61.4200				9.720					
61.5500				9.800					
61.6700				9.920					
61.8000				10.160					
61.9200				10.120					
62.0500				10.400					
62.1700				10.520					
62.3000				10.840					
62.4200				10.800					
62.5500				11.000					
62.6700				11.160					
62.8000				11.280					
62.9200				11.640					
63.0500				11.640					
63.1700				11.840					
63.3000				12.000					
63.4200				12.160					
63.5500				12.200					
63.6700				12.440					
63.8000				12.680					
63.9200				12.720					
64.0500				13.160					
64.1800				13.120					
64.3000				13.400					
64.4300				13.560					
64.5500				13.760					
64.6800				13.960					
64.8000				14.040					
64.9300				14.440					
65.0500				14.360					
65.1800				14.720					
65.3000				14.760					
65.4300				15.080					
65.5500				15.240					
65.6800				15.320					
65.8000				15.760					
65.9300				15.840					
66.0500				16.120					
66.1800				16.200					
66.3000				16.600					
66.4300				16.640					
66.5500				16.760					
66.6800				17.080					
66.8000				17.040					
66.9300				17.560					
67.0500				17.440					
67.1800				17.760					
67.3000				17.920					
67.4300				18.120					
67.5500				18.200					
67.6800				18.400					
67.8000				18.600					
67.9300				18.640					
68.0500				19.080					
68.1800				18.880					
68.3000				19.200					
68.4300				19.440					
68.5500				19.480					
68.6800				19.560					
68.8000				19.760					
68.9300				20.000					
69.0500				20.000					
69.1800				20.360					
69.3000				20.080					
69.4300				20.480					
69.5500				20.760					
69.6800				20.880					
69.8000				21.280					
69.9300				21.360					
70.0500				21.640					
70.1800				21.880					
70.3000				22.240					
70.4300				22.440					
70.5600				22.960					
70.6800				23.520					
70.8100				23.720					
70.9300				24.680					
71.0600				24.800					
71.1800				25.760					
71.3100				26.440					
71.4300				27.360					
71.5600				28.160					
71.6800				29.280					
71.8100				30.480					
71.9300				31.720					
72.0600				33.400					
72.1800				34.320					
72.3100				36.320					
72.4300				37.960					
72.5600				39.640					
72.6800				42.040					
72.8100				43.800					
72.9300				46.000					
73.0600				48.440					
73.1800				51.240					
73.3100				52.640					
73.4300				56.000					
73.5600				58.120					
73.6800				60.560					
73.8100				64.160					
73.9300				66.040					
74.0600				68.800					
74.1800				71.280					
74.3100				74.800					
74.4300				75.800					
74.5600				78.880					
74.6800				81.160					
74.8100				82.920					
74.9300				86.400					
75.0600				86.400					
75.1800				89.080					
75.3100				90.640					
75.4300				91.920					
75.5600				92.960					
75.6800				94.160					
75.8100				95.520					
75.9300				95.280					
76.0600				97.000					
76.1800				95.520					
76.3100				97.000					
76.4300				96.800					
76.5600				95.480					
76.6800				95.920					
76.8100				94.680					
76.9400				94.680					
77.0600				93.120					
77.1900				92.360					
77.3100				90.520					
77.4400				89.560					
77.5600				88.720					
77.6900				86.120					
77.8100				85.360					
77.9400				82.760					
78.0600				82.000					
78.1900				79.800					
78.3100				77.080					
78.4400				75.960					
78.5600				73.480					
78.6900				72.320					
78.8100				69.520					
78.9400				67.560					
79.0600				65.560					
79.1900				64.000					
79.3100				62.000					
79.4400				59.400					
79.5600				58.080					
79.6900				55.400					
79.8100				54.280					
79.9400				52.040					
80.0600				49.840					
80.1900				48.640					
80.3100				46.400					
80.4400				45.280					
80.5600				43.200					
80.6900				41.880					
80.8100				39.920					
80.9400				39.000					
81.0600				37.400					
81.1900				35.240					
81.3100				34.720					
81.4400				32.960					
81.5600				32.120					
81.6900				30.560					
81.8100				29.240					
81.9400				27.960					
82.0600				27.440					
82.1900				25.960					
82.3100				24.400					
82.4400				24.040					
82.5600				22.520					
82.6900				22.120					
82.8100				20.920					
82.9400				19.840					
83.0600				19.120					
83.1900				18.360					
83.3200				17.800					
83.4400				16.600					
83.5700				16.200					
83.6900				15.040					
83.8200				14.880					
83.9400				14.080					
84.0700				13.160					
84.1900				12.920					
84.3200				12.160					
84.4400				11.920					
84.5700				11.040					
84.6900				10.640					
