"Vol (mL)"	CDIN1Y94C	CDIN1Y94C	CDIN1Y94C	Codanin-1	Codanin-1	Codanin-1	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"
108.13							1.5435		
108.26							1.4952		
108.38							1.5078		
108.51							1.4595		
108.64							1.5015		
108.77							1.5078		
108.89							1.5015		
109.02							1.4910		
109.15							1.5267		
109.28							1.5393		
109.41							1.4532		
109.53							1.5162		
109.66							1.4637		
109.79							1.4994		
109.92							1.4700		
110.04							1.4700		
110.17							1.4868		
110.30							1.4322		
110.43							1.5204		
110.56							1.4616		
110.68							1.4910		
110.81							1.4595		
110.94							1.4049		
111.07							1.3713		
111.20							1.4196		
111.32							1.3713		
111.45							1.3881		
111.58							1.6254		
111.71							1.4616		
111.83							1.3503		
111.96							1.3797		
112.09							1.4448		
112.22							1.4322		
112.35							1.4868		
112.47							1.3713		
112.60							1.3965		
112.73							1.4028		
112.86							1.3713		
112.98							1.3335		
113.11							1.2999		
113.24							1.3335		
113.37							1.3587		
113.50							1.2999		
113.62							1.3041		
113.75							1.3167		
113.88							1.2747		
114.01							1.2936		
114.13							1.2495		
114.26							1.2684		
114.39							1.2348		
114.52							1.2369		
114.65							1.2474		
114.77							1.1823		
114.90							1.1970		
115.03							1.1886		
115.16							1.2432		
115.28							1.1424		
115.41							1.1760		
115.54							1.1676		
115.67							1.1487		
115.80							1.1550		
115.92							1.1634		
116.05							1.1445		
116.18							1.1403		
116.31							1.1592		
116.44							1.1025		
116.56							1.1382		
116.69							1.1193		
116.82							1.1172		
116.95							1.1697		
117.07							1.1382		
117.20							1.1025		
117.33							1.0773		
117.46							1.1466		
117.59							1.1277		
117.71							1.1046		
117.84							1.0773		
117.97							1.0731		
118.10							1.1466		
118.22							1.0920		
118.35							1.0836		
118.48							1.0710		
118.61							1.1487		
118.74							1.1151		
118.86							1.0752		
118.99							1.1025		
119.12							1.1088		
119.25							1.1214		
119.37							1.0962		
119.50							1.1529		
119.63							1.1025		
119.76							1.1865		
119.89							1.1424		
