"Vol (mL)"	CDIN1Y94C	CDIN1Y94C	CDIN1Y94C	Codanin-1	Codanin-1	Codanin-1	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"
56.67				4.360					
56.79				4.480					
56.92				4.640					
57.04				4.760					
57.17				4.960					
57.29				4.880					
57.42				5.160					
57.54				5.280					
57.67				5.400					
57.80				5.520					
57.92				5.600					
58.05				5.880					
58.17				5.920					
58.30				6.120					
58.42				6.080					
58.55				6.280					
58.67				6.480					
58.80				6.520					
58.92				6.720					
59.05				6.840					
59.17				7.000					
59.30				7.120					
59.42				7.440					
59.55				7.320					
59.67				7.560					
59.80				7.720					
59.92				7.720					
60.05				8.040					
60.17				8.000					
60.30				8.280					
60.42				8.440					
60.55				8.520					
60.67				8.640					
60.80				8.760					
60.92				9.000					
61.05				9.160					
61.17				9.360					
61.30				9.360					
61.42				9.720					
61.55				9.800					
61.67				9.920					
61.80				10.160					
61.92				10.120					
62.05				10.400					
62.17				10.520					
62.30				10.840					
62.42				10.800					
62.55				11.000					
62.67				11.160					
62.80				11.280					
62.92				11.640					
63.05				11.640					
63.17				11.840					
63.30				12.000					
63.42				12.160					
63.55				12.200					
63.67				12.440					
63.80				12.680					
63.92				12.720					
64.05				13.160					
64.18				13.120					
64.30				13.400					
64.43				13.560					
64.55				13.760					
64.68				13.960					
64.80				14.040					
64.93				14.440					
65.05				14.360					
65.18				14.720					
65.30				14.760					
65.43				15.080					
65.55				15.240					
65.68				15.320					
65.80				15.760					
65.93				15.840					
66.05				16.120					
66.18				16.200					
66.30				16.600					
66.43				16.640					
66.55				16.760					
66.68				17.080					
66.80				17.040					
66.93				17.560					
67.05				17.440					
67.18				17.760					
67.30				17.920					
67.43				18.120					
67.55				18.200					
67.68				18.400					
67.80				18.600					
67.93				18.640					
68.05				19.080					
68.18				18.880					
68.30				19.200					
68.43				19.440					
68.55				19.480					
68.68				19.560					
68.80				19.760					
68.93				20.000					
69.05				20.000					
69.18				20.360					
69.30				20.080					
69.43				20.480					
69.55				20.760					
69.68				20.880					
69.80				21.280					
69.93				21.360					
70.05				21.640					
70.18				21.880					
70.30				22.240					
70.43				22.440					
70.56				22.960					
70.68				23.520					
70.81				23.720					
70.93				24.680					
71.06				24.800					
71.18				25.760					
71.31				26.440					
71.43				27.360					
71.56				28.160					
71.68				29.280					
71.81				30.480					
71.93				31.720					
72.06				33.400					
72.18				34.320					
72.31				36.320					
72.43				37.960					
72.56				39.640					
72.68				42.040					
72.81				43.800					
72.93				46.000					
73.06				48.440					
73.18				51.240					
73.31				52.640					
73.43				56.000					
73.56				58.120					
73.68				60.560					
73.81				64.160					
73.93				66.040					
74.06				68.800					
74.18				71.280					
74.31				74.800					
74.43				75.800					
74.56				78.880					
74.68				81.160					
74.81				82.920					
74.93				86.400					
75.06				86.400					
75.18				89.080					
75.31				90.640					
75.43				91.920					
75.56				92.960					
75.68				94.160					
75.81				95.520					
75.93				95.280					
76.06				97.000					
76.18				95.520					
76.31				97.000					
76.43				96.800					
76.56				95.480					
76.68				95.920					
76.81				94.680					
76.94				94.680					
77.06				93.120					
77.19				92.360					
77.31				90.520					
77.44				89.560					
77.56				88.720					
77.69				86.120					
77.81				85.360					
77.94				82.760					
78.06				82.000					
78.19				79.800					
78.31				77.080					
78.44				75.960					
78.56				73.480					
78.69				72.320					
78.81				69.520					
78.94				67.560					
79.06				65.560					
79.19				64.000					
79.31				62.000					
79.44				59.400					
79.56				58.080					
79.69				55.400					
79.81				54.280					
79.94				52.040					
80.06				49.840					
80.19				48.640					
80.31				46.400					
80.44				45.280					
80.56				43.200					
80.69				41.880					
80.81				39.920					
80.94				39.000					
81.06				37.400					
81.19				35.240					
81.31				34.720					
81.44				32.960					
81.56				32.120					
81.69				30.560					
81.81				29.240					
81.94				27.960					
82.06				27.440					
82.19				25.960					
82.31				24.400					
82.44				24.040					
82.56				22.520					
82.69				22.120					
82.81				20.920					
82.94				19.840					
83.06				19.120					
83.19				18.360					
83.32				17.800					
83.44				16.600					
83.57				16.200					
83.69				15.040					
83.82				14.880					
83.94				14.080					
84.07				13.160					
84.19				12.920					
84.32				12.160					
84.44				11.920					
84.57				11.040					
