"Vol (mL)"	CDIN1	CDIN1	CDIN1	Codanin-1	Codanin-1	Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
53.53	-0.19								
53.66	-0.22								
53.78	-0.21								
53.91	-0.22								
54.03	-0.22								
54.16	-0.24								
54.28	-0.25								
54.40	-0.21								
54.53	-0.24								
54.65	-0.22								
54.78	-0.22								
54.90	-0.23								
55.03	-0.22								
55.15	-0.22								
55.28	-0.24								
55.40	-0.22								
55.52	-0.22								
55.65	-0.22								
55.77	-0.19								
55.90	-0.22								
56.02	-0.19								
56.15	-0.18								
56.27	-0.22								
56.40	-0.19								
56.52	-0.20								
56.65	-0.19								
56.77	-0.18								
56.89	-0.17								
57.02	-0.16								
57.14	-0.13								
57.27	-0.12								
57.39	-0.11								
57.52	-0.08								
57.64	-0.11								
57.77	-0.11								
57.89	-0.07								
58.01	-0.04								
58.14	-0.04								
58.26	-0.02								
58.39	0.00								
58.51	0.01								
58.64	0.05								
58.76	0.05								
58.89	0.10								
59.01	0.14								
59.14	0.14								
59.26	0.17								
59.38	0.20								
59.51	0.27								
59.63	0.27								
59.76	0.30								
59.88	0.31								
60.01	0.34								
60.13	0.42								
60.26	0.42								
60.38	0.47								
60.50	0.50								
60.63	0.53								
60.75	0.60								
60.88	0.60								
61.00	0.61								
61.13	0.66								
61.25	0.72								
61.38	0.73								
61.50	0.78								
61.63	0.81								
61.75	0.84								
61.87	0.90								
62.00	0.91								
62.12	0.94								
62.25	0.96								
62.37	1.02								
62.50	1.03								
62.62	1.10								
62.75	1.10								
62.87	1.13								
62.99	1.15								
63.12	1.17								
63.24	1.21								
63.37	1.23								
63.49	1.24								
63.62	1.29								
63.74	1.30								
63.87	1.29								
63.99	1.33								
64.12	1.37								
64.24	1.36								
64.36	1.40								
64.49	1.40								
64.61	1.42								
64.74	1.47								
64.86	1.45								
64.99	1.50								
65.11	1.51								
65.24	1.53								
65.36	1.52								
65.48	1.55								
65.61	1.55								
65.73	1.56								
65.86	1.62								
65.98	1.58								
66.11	1.65								
66.23	1.63								
66.36	1.65								
66.48	1.69								
66.60	1.70								
66.73	1.72								
66.85	1.75								
66.98	1.77								
67.10	1.78								
67.23	1.81								
67.35	1.82								
67.48	1.85								
67.60	1.92								
67.73	1.91								
67.85	1.94								
67.97	1.97								
68.10	2.00								
68.22	2.07								
68.35	2.10								
68.47	2.14								
68.60	2.18								
68.72	2.27								
68.85	2.25								
68.97	2.36								
69.09	2.37								
69.22	2.43								
69.34	2.52								
69.47	2.54								
69.59	2.59								
69.72	2.67								
69.84	2.73								
69.97	2.80								
70.09	2.92								
70.22	2.91								
70.34	3.01								
70.46	3.15								
70.59	3.19								
70.71	3.29								
70.84	3.30								
70.96	3.43								
71.09	3.51								
71.21	3.64								
71.34	3.66								
71.46	3.76								
71.58	3.90								
71.71	3.94								
71.83	4.13								
71.96	4.14								
72.08	4.26								
72.21	4.41								
72.33	4.51								
72.46	4.56								
72.58	4.68								
72.71	4.81								
72.83	4.87								
72.95	5.03								
73.08	5.06								
73.20	5.21								
73.33	5.37								
73.45	5.38								
73.58	5.54								
73.70	5.58								
73.83	5.75								
73.95	5.86								
74.07	6.00								
74.20	6.01								
74.32	6.15								
74.45	6.33								
74.57	6.36								
74.70	6.55								
74.82	6.55								
74.95	6.68								
75.07	6.83								
75.20	6.90								
75.32	7.04								
75.44	7.12								
75.57	7.29								
75.69	7.35								
75.82	7.54								
75.94	7.56								
76.07	7.75								
76.19	7.92								
76.32	7.92								
76.44	8.17								
76.56	8.21								
76.69	8.42								
76.81	8.58								
76.94	8.77								
77.06	8.86								
77.19	9.05								
77.31	9.32								
77.44	9.41								
77.56	9.80								
77.68	9.91								
77.81	10.24								
77.93	10.59								
78.06	10.84								
78.18	11.18								
78.31	11.55								
78.43	12.07								
78.56	12.47								
78.68	13.16								
78.81	13.46								
78.93	14.26								
79.05	15.13								
79.18	15.73								
79.30	16.74								
79.43	17.39								
79.55	18.71								
79.68	19.86								
79.80	21.21								
79.93	22.28								
80.05	23.97								
80.17	25.83								
80.30	27.33								
80.42	29.82								
80.55	30.95								
80.67	33.65								
80.80	36.27								
80.92	38.49								
81.05	41.06								
81.17	43.65								
81.30	47.02								
81.42	49.62								
81.54	53.56								
81.67	55.32								
81.79	59.31								
81.92	63.34								
82.04	66.14								
82.17	70.26								
82.29	72.53								
82.42	77.16								
82.54	80.69								
82.66	84.62								
82.79	86.89								
82.91	90.75								
83.04	94.88								
83.16	97.41								
83.29	102.22								
83.41	103.29								
83.54	107.53								
83.66	111.15								
83.79	113.51								
83.91	116.29								
84.03	118.13								
84.16	121.51								
84.28	123.38								
84.41	126.64								
84.53	126.78								
84.66	129.33								
84.78	131.93								
84.91	131.90								
85.03	134.28								
85.15	134.01								
85.28	135.57								
85.40	136.65								
85.53	137.15								
85.65	137.02								
85.78	137.33								
85.90	138.03								
86.03	137.07								
86.15	137.90								
86.28	136.84								
86.40	136.30								
86.52	136.40								
86.65	134.80								
86.77	134.58								
86.90	133.41								
87.02	132.25								
87.15	131.34								
87.27	129.97								
87.40	128.92								
87.52	127.20								
87.64	125.87								
87.77	123.66								
87.89	122.75								
88.02	121.22								
88.14	118.81								
88.27	117.61								
88.39	115.10								
88.52	114.23								
88.64	111.89								
88.77	109.54								
88.89	107.66								
89.01	105.36								
89.14	104.22								
89.26	101.31								
89.39	99.49								
89.51	96.96								
89.64	95.57								
89.76	93.55								
89.89	90.60								
90.01	89.11								
90.13	86.10								
90.26	85.21								
90.38	82.41								
90.51	79.87								
90.63	78.09								
90.76	75.95								
90.88	74.58								
91.01	71.55								
91.13	69.88								
91.25	67.14								
91.38	66.44								
91.50	63.88								
91.63	61.32								
91.75	60.19								
91.88	57.41								
92.00	56.61								
92.13	53.95								
92.25	52.05								
92.38	50.15								
92.50	48.91								
92.62	47.38								
92.75	44.96								
92.87	44.08								
93.00	41.69								
93.12	41.17								
93.25	39.06								
93.37	37.08								
93.50	36.26								
93.62	34.69								
93.74	33.89								
93.87	32.07								
93.99	30.97								
94.12	29.41								
94.24	29.07								
94.37	27.53								
94.49	26.01								
94.62	25.71								
94.74	24.03								
94.87	23.76								
94.99	22.42								
95.11	21.34								
95.24	20.61								
95.36	20.01								
95.49	19.23								
95.61	18.13								
95.74	17.88								
95.86	16.64								
95.99	16.54								
96.11	15.66								
96.23	14.73								
96.36	14.56								
96.48	13.77								
96.61	13.47								
96.73	12.69								
96.86	12.31								
96.98	11.64								
97.11	11.59								
97.23	10.98								
97.36	10.34								
97.48	10.32								
97.60	9.59								
97.73	9.47								
97.85	8.99								
97.98	8.54								
98.10	8.31								
98.23	8.06								
98.35	7.77								
98.48	7.35								
98.60	7.27								
98.72	6.77								
98.85	6.78								
98.97	6.42								
99.10	6.05								
99.22	6.06								
99.35	5.77								
99.47	5.66								
99.60	5.40								
99.72	5.23								
99.85	4.96								
99.97	5.02								
100.09	4.81								
100.22	4.56								
100.34	4.59								
100.47	4.25								
100.59	4.30								
100.72	4.13								
100.84	3.97								
100.97	3.83								
101.09	3.75								
101.21	3.74								
101.34	3.53								
101.46	3.56								
101.59	3.34								
101.71	3.38								
101.84	3.29								
101.96	3.12								
102.09	3.11								
102.21	3.01								
102.34	2.98								
102.46	2.87								
102.58	2.83								
102.71	2.69								
102.83	2.72								
102.96	2.65								
103.08	2.53								
103.21	2.53								
103.33	2.39								
103.46	2.39								
103.58	2.32								
103.70	2.22								
103.83	2.16								
103.95	2.12								
104.08	2.11								
104.20	1.98								
104.33	1.94								
104.45	1.84								
104.58	1.87								
104.70	1.80								
104.82	1.70								
104.95	1.67								
105.07	1.61								
105.20	1.61								
105.32	1.56								
105.45	1.49								
105.57	1.42								
105.70	1.44								
105.82	1.38								
105.95	1.33								
106.07	1.31								
106.19	1.24								
106.32	1.25								
106.44	1.24								
106.57	1.20								
106.69	1.17								
106.82	1.18								
106.94	1.16								
107.07	1.12								
107.19	1.13								
107.31	1.08								
107.44	1.12								
107.56	1.11								
107.69	1.07								
107.81	1.11								
107.94	1.11								
108.06	1.17								
108.19	1.11								
108.31	1.15								
108.44	1.13								
108.56	1.20								
108.68	1.24								
108.81	1.24								
108.93	1.27								
109.06	1.23								
109.18	1.29								
109.31	1.30								
109.43	1.32								
109.56	1.33								
109.68	1.34								
109.80	1.35								
109.93	1.34								
110.05	1.35								
110.18	1.29								
110.30	1.28								
110.43	1.27								
110.55	1.20								
110.68	1.18								
110.80	1.13								
110.93	1.11								
111.05	1.04								
111.17	0.97								
111.30	0.93								
111.42	0.87								
111.55	0.82								
111.67	0.75								
111.80	0.72								
111.92	0.63								
112.05	0.61								
112.17	0.54								
112.29	0.47								
112.42	0.43								
112.54	0.39								
112.67	0.37								
